	average	sd	ratio	ava	avb	cumsum	p
18:1	0.025	0.026	0.976	7.297	4.681	0.159	0.552
18:2n-6c	0.020	0.024	0.853	6.693	4.576	0.290	0.450
16:0	0.016	0.010	1.614	6.193	4.703	0.390	0.239
18:0	0.013	0.009	1.461	3.348	3.709	0.471	0.890
16:1	0.010	0.008	1.200	4.452	5.348	0.534	0.360
18:3n-3	0.009	0.007	1.406	4.826	4.716	0.592	0.803
14:0	0.008	0.005	1.401	3.504	3.068	0.640	0.265
20:1	0.007	0.007	1.107	1.704	1.214	0.688	0.412
18:4n-3	0.007	0.006	1.235	3.223	3.093	0.734	0.798
