	average	sd	ratio	ava	avb	cumsum	p
13:0	0.032	0.003	9.157	0.000	4.007	0.143	0.001
14:0	0.030	0.007	4.526	0.627	3.962	0.277	0.001
18:1	0.024	0.013	1.880	5.502	8.362	0.383	0.150
16:1	0.020	0.014	1.436	4.528	6.560	0.473	0.117
18:2n-6c	0.015	0.012	1.239	3.414	5.136	0.540	0.101
16:0	0.015	0.011	1.322	8.524	10.250	0.606	0.041
15:0	0.012	0.004	3.033	0.367	1.804	0.658	0.001
12:0	0.011	0.004	2.517	0.000	1.355	0.706	0.001
