	average	sd	ratio	ava	avb	cumsum	p
18:1	0.031	0.015	2.016	6.533	5.502	0.179	0.001
16:1	0.021	0.015	1.441	5.444	4.528	0.305	0.033
18:2n-6c	0.017	0.013	1.295	4.426	3.414	0.404	0.011
16:0	0.013	0.010	1.370	8.564	8.524	0.480	0.275
14:0	0.011	0.014	0.794	0.808	0.627	0.544	0.999
20:1	0.009	0.005	1.906	2.713	1.743	0.598	0.002
18:0	0.008	0.007	1.261	7.638	7.701	0.647	0.266
18:3n-3	0.007	0.005	1.281	2.134	1.847	0.688	0.233
20:2n-6	0.006	0.006	1.106	2.123	1.861	0.726	0.080
