	average	sd	ratio	ava	avb	cumsum	p
18:1	0.030	0.020	1.531	7.809	4.479	0.177	0.222
18:0	0.022	0.016	1.342	3.383	2.907	0.303	0.216
18:2n-6c	0.014	0.007	1.914	7.269	5.696	0.386	0.508
18:3n-3	0.012	0.008	1.626	5.184	4.906	0.458	0.318
16:0	0.012	0.008	1.538	7.469	6.218	0.526	0.675
20:5n-3	0.011	0.008	1.434	2.685	1.792	0.591	0.144
18:3n-6	0.011	0.005	1.972	1.885	1.050	0.653	0.078
18:4n-3	0.009	0.007	1.433	3.288	3.275	0.708	0.390
