	average	sd	ratio	ava	avb	cumsum	p
18:1	0.025	0.019	1.293	4.681	4.479	0.132	0.559
18:2n-6c	0.021	0.020	1.069	4.576	5.696	0.243	0.455
16:0	0.017	0.011	1.529	4.703	6.218	0.331	0.188
18:0	0.016	0.012	1.367	3.709	2.907	0.418	0.710
16:1	0.013	0.011	1.214	5.348	4.004	0.487	0.157
18:3n-3	0.012	0.009	1.342	4.716	4.906	0.552	0.333
18:3n-6	0.011	0.006	1.896	1.847	1.050	0.613	0.036
18:4n-3	0.010	0.007	1.464	3.093	3.275	0.668	0.239
20:5n-3	0.010	0.006	1.678	2.463	1.792	0.718	0.426
