	average	sd	ratio	ava	avb	cumsum	p
18:0	0.019	0.014	1.379	3.383	3.348	0.159	0.443
18:1	0.014	0.007	1.910	7.809	7.297	0.274	0.869
16:0	0.011	0.007	1.700	7.469	6.193	0.367	0.695
18:3n-3	0.009	0.007	1.375	5.184	4.826	0.443	0.808
20:5n-3	0.009	0.006	1.476	2.685	2.380	0.518	0.517
18:4n-3	0.007	0.005	1.314	3.288	3.223	0.575	0.875
16:1	0.007	0.007	1.002	3.662	4.452	0.629	0.676
18:2n-6c	0.006	0.004	1.574	7.269	6.693	0.678	0.929
20:2n-6	0.005	0.003	1.687	0.918	0.919	0.721	0.589
