	average	sd	ratio	ava	avb	cumsum	p
13:0	0.031	0.004	8.522	0.000	4.007	0.150	0.001
14:0	0.024	0.008	2.897	0.808	3.962	0.269	0.002
18:1	0.022	0.021	1.082	6.533	8.362	0.379	0.247
16:1	0.016	0.012	1.296	5.444	6.560	0.455	0.741
16:0	0.014	0.009	1.494	8.564	10.250	0.523	0.073
15:0	0.012	0.005	2.513	0.281	1.804	0.581	0.001
12:0	0.010	0.004	2.498	0.000	1.355	0.631	0.001
18:2n-6c	0.009	0.009	1.033	4.426	5.136	0.676	0.899
18:0	0.007	0.005	1.597	7.638	8.386	0.712	0.645
