	average	sd	ratio	ava	avb	cumsum	p
18:1	0.031	0.024	1.327	7.809	4.681	0.172	0.144
16:0	0.025	0.013	1.849	7.469	4.703	0.308	0.005
18:2n-6c	0.024	0.024	0.995	7.269	4.576	0.441	0.112
18:0	0.020	0.014	1.451	3.383	3.709	0.550	0.329
16:1	0.015	0.011	1.305	3.662	5.348	0.631	0.034
18:3n-3	0.009	0.007	1.350	5.184	4.716	0.680	0.860
20:5n-3	0.009	0.005	1.649	2.685	2.463	0.727	0.625
