replicate	fa	treatment	fa_conc
S_5	C18:3(n-3)	NC	7.450312382
S_5	C18:4(n-3)	NC	0.860528134
S_5	C20:0	NC	0
S_5	C20:1	NC	6.68022252
S_5	C20:2(n-6)	NC	7.794763388
S_5	C20:3(n-6)	NC	1.587850557
S_5	C20:4(n-6)	NC	14.056425
S_5	C20:3(n-3)	NC	0
S_5	C21:0	NC	0
S_5	C20:5(n-3)	NC	17.81649448
S_5	C22:0	NC	0
S_5	C22:1	NC	4.60041374
S_5	C22:2	NC	0
S_5	C22:5(n-3)	NC	3.112833773
S_5	C22:6(n-3)	NC	1.242631889
S_5	C24:0	NC	0
S_5	C24:1	NC	0
S_6	C08:0	NC	0
S_6	C10:0	NC	0
S_6	C11:0	NC	0
S_6	C12:0	NC	0
S_6	C13:0	NC	0
S_6	C14:0	NC	7.161361678
S_6	C14:1	NC	0
S_6	C15:0	NC	2.193635626
S_6	C15:1	NC	0
S_6	C16:0	NC	94.93804286
S_6	C16:1	NC	50.01619601
S_6	C17:1	NC	0
S_6	C18:0	NC	64.71283614
S_6	C18:1	NC	93.45792274
S_6	C18:2(n-6t)	NC	0
S_6	C18:2(n-6c)	NC	47.01642617
S_6	C18:3(n-6)	NC	2.385498126
S_6	C18:3(n-3)	NC	14.04412022
S_6	C18:4(n-3)	NC	3.271135584
S_6	C20:0	NC	2.128439975
S_6	C20:1	NC	4.978954341
S_6	C20:2(n-6)	NC	10.35108769
S_6	C20:3(n-6)	NC	2.780660463
S_6	C20:4(n-6)	NC	17.94925209
S_6	C20:3(n-3)	NC	0.577904166
S_6	C21:0	NC	0
S_6	C20:5(n-3)	NC	23.45653597
S_6	C22:0	NC	0
S_6	C22:1	NC	11.65771037
S_6	C22:2	NC	0
S_6	C22:5(n-3)	NC	4.312649887
S_6	C22:6(n-3)	NC	2.111661554
S_6	C24:0	NC	0
S_6	C24:1	NC	0
S_7	C08:0	NC	0
S_7	C10:0	NC	0
S_7	C11:0	NC	0
S_7	C12:0	NC	0
S_7	C13:0	NC	0
S_7	C14:0	NC	14.10693353
S_7	C14:1	NC	0
S_7	C15:0	NC	2.539943379
S_7	C15:1	NC	0
S_7	C16:0	NC	95.64060289
S_7	C16:1	NC	62.33283815
S_7	C17:1	NC	0
S_7	C18:0	NC	53.87625864
S_7	C18:1	NC	77.11524815
S_7	C18:2(n-6t)	NC	0
S_7	C18:2(n-6c)	NC	34.62703365
S_7	C18:3(n-6)	NC	2.490285693
S_7	C18:3(n-3)	NC	9.295051416
S_7	C18:4(n-3)	NC	2.941697721
S_7	C20:0	NC	2.537320763
S_7	C20:1	NC	0
S_7	C20:2(n-6)	NC	8.859477431
S_7	C20:3(n-6)	NC	1.745166716
S_7	C20:4(n-6)	NC	17.27207213
S_7	C20:3(n-3)	NC	0
S_7	C21:0	NC	0
S_7	C20:5(n-3)	NC	23.92756375
S_7	C22:0	NC	0
S_7	C22:1	NC	7.362610207
S_7	C22:2	NC	0
S_7	C22:5(n-3)	NC	3.65172711
S_7	C22:6(n-3)	NC	1.796504859
S_7	C24:0	NC	0
S_7	C24:1	NC	0
S_8	C08:0	NC	0
S_8	C10:0	NC	0
S_8	C11:0	NC	0
S_8	C12:0	NC	0
S_8	C13:0	NC	0
S_8	C14:0	NC	7.890591987
S_8	C14:1	NC	0
S_8	C15:0	NC	1.610114116
S_8	C15:1	NC	0
S_8	C16:0	NC	57.99151082
S_8	C16:1	NC	54.46438735
S_8	C17:1	NC	0
S_8	C18:0	NC	44.9532284
S_8	C18:1	NC	76.41463964
S_8	C18:2(n-6t)	NC	0
S_8	C18:2(n-6c)	NC	33.82187355
S_8	C18:3(n-6)	NC	2.144824606
S_8	C18:3(n-3)	NC	10.67400487
S_8	C18:4(n-3)	NC	2.710821861
S_8	C20:0	NC	0.546805889
S_8	C20:1	NC	7.719067981
S_8	C20:2(n-6)	NC	7.627327936
S_8	C20:3(n-6)	NC	0.96299427
S_8	C20:4(n-6)	NC	13.01006289
S_8	C20:3(n-3)	NC	0.441049858
S_8	C21:0	NC	0
S_8	C20:5(n-3)	NC	21.16252705
S_8	C22:0	NC	0
S_8	C22:1	NC	7.691331707
S_8	C22:2	NC	0
S_8	C22:5(n-3)	NC	3.148173248
S_8	C22:6(n-3)	NC	0.994487381
S_8	C24:0	NC	0
S_8	C24:1	NC	0
S_9	C08:0	NC	0
S_9	C10:0	NC	0
