	average	sd	ratio	ava	avb	cumsum	p
18:1	0.026	0.018	1.407	7.297	4.479	0.174	0.518
18:0	0.015	0.013	1.215	3.348	2.907	0.278	0.778
18:3n-3	0.012	0.009	1.339	4.826	4.906	0.361	0.318
18:3n-6	0.011	0.007	1.481	1.906	1.050	0.434	0.059
18:4n-3	0.010	0.007	1.429	3.223	3.275	0.502	0.298
18:2n-6c	0.009	0.006	1.490	6.693	5.696	0.567	0.665
20:5n-3	0.009	0.006	1.472	2.380	1.792	0.629	0.464
20:2n-6	0.007	0.005	1.284	0.919	0.679	0.676	0.132
14:0	0.007	0.005	1.283	3.504	3.390	0.720	0.495
