	average	sd	ratio	ava	avb	cumsum	p
22:1	0.034	0.026	1.318	16.325	21.865	0.150	0.536
20:5n-3	0.029	0.022	1.325	13.076	16.797	0.280	0.669
20:4n-6	0.025	0.021	1.195	13.705	12.068	0.392	0.342
13:0	0.020	0.003	7.841	0.000	4.007	0.480	0.001
14:0	0.019	0.004	4.363	0.627	3.962	0.562	0.001
18:1	0.015	0.008	1.859	5.502	8.362	0.627	0.137
16:1	0.012	0.008	1.472	4.528	6.560	0.682	0.113
16:0	0.009	0.007	1.290	8.524	10.250	0.723	0.033
