	average	sd	ratio	ava	avb	cumsum	p
22:1	0.028	0.019	1.464	14.508	16.325	0.153	0.966
20:5n-3	0.025	0.018	1.400	14.711	13.076	0.290	0.947
20:4n-6	0.024	0.018	1.340	13.343	13.705	0.418	0.485
18:1	0.019	0.009	1.982	6.533	5.502	0.519	0.001
20:2n-6	0.013	0.010	1.369	5.106	3.605	0.591	0.343
16:1	0.013	0.009	1.437	5.444	4.528	0.662	0.034
18:2n-6c	0.010	0.008	1.286	4.426	3.414	0.716	0.018
