sample	treatment	week	afdw
207	Cip	2	0.20009054
208	Cip	2	0.29062924
209	Cip	2	0.08782254
210	Cip	2	0.26799457
211	Mix	2	0.18696243
212	Mix	2	0.06609325
213	Mix	2	0.0909914
214	Mix	2	0.13490267
215	Mix	2	0.10276143
216	Mix	2	0.10819375
217	Mix	2	0.16568583
218	Mix	2	0.1819828
219	Mix	2	0.11543685
220	Mix	2	0.15346311
221	Mix	2	0.16704391
222	Mix	2	0.13082843
223	Mix	2	0.10049796
224	Mix	2	0.15527388
225	Mix	2	0.14622001
226	Mix	2	0.15753735
227	Mix	2	0.17655048
228	Mix	2	0.20416478
229	Mix	2	0.14803078
230	Mix	2	0.13173382
231	Mix	2	0.12811227
232	Mix	2	0.05115437
233	Mix	2	0.16704391
234	Mix	2	0.06382979
235	Mix	2	0.09053871
236	Mix	2	0.09370756
237	Mix	2	0.14803078
238	Mix	2	0.10185604
239	Mix	2	0.08601177
240	Mix	2	0.13671344
241	NC	3	0.23630602
242	NC	3	0.3214124
243	NC	3	0.32910819
244	NC	3	0.52965143
245	NC	3	0.61792666
246	NC	3	0.34676324
247	NC	3	0.39746492
248	NC	3	0.46265278
249	NC	3	0.59257583
250	NC	3	0.57039384
251	NC	3	0.42553191
252	NC	3	0.42055229
253	NC	3	0.47125396
254	NC	3	0.6505206
255	NC	3	0.59574468
256	NC	3	0.63331824
257	NC	3	0.39655953
258	NC	3	0.5387053
259	NC	3	0.42009959
260	NC	3	0.38750566
261	NC	3	0.48347669
262	NC	3	0.47034857
263	NC	3	0.42055229
264	NC	3	0.48664554
265	NC	3	0.41557266
266	NC	3	0.46491625
267	NC	3	0.4056134
268	NC	3	0.34676324
269	NC	3	0.32639203
270	NC	3	NA
271	Pro	3	0.42779538
272	Pro	3	0.45676777
273	Pro	3	0.39927569
274	Pro	3	0.4898144
275	Pro	3	0.7763694
276	Pro	3	0.78723404
277	Pro	3	0.76550475
278	Pro	3	0.82888185
279	Pro	3	0.6296967
280	Pro	3	0.64191942
281	Pro	3	0.6781349
282	Pro	3	0.64961521
283	Pro	3	0.65142598
284	Pro	3	0.43141693
285	Pro	3	0.56994115
286	Pro	3	NA
287	Pro	3	0.52286102
288	Pro	3	0.6781349
289	Pro	3	0.71389769
290	Pro	3	0.5106383
291	Pro	3	0.50701675
292	Pro	3	0.41310044
293	Pro	3	0.42139738
294	Pro	3	0.38558952
295	Pro	3	NA
296	Pro	3	0.38296943
297	Pro	3	0.37510917
298	Pro	3	0.42183406
299	Pro	3	0.47772926
300	Pro	3	0.43056769
301	Cip	3	0.33952014
302	Cip	3	0.57220462
303	Cip	3	0.3354459
304	Cip	3	0.61928474
305	Cip	3	0.60027162
306	Cip	3	0.39927569
307	Cip	3	0.51788139
308	Cip	3	0.4685378
309	Cip	3	0.62652784
310	Cip	3	0.49569941
311	Cip	3	0.14214577
312	Cip	3	NA
313	Cip	3	0.46899049
314	Cip	3	0.6016297
315	Cip	3	NA
316	Cip	3	0.1960163
317	Cip	3	0.25712992
318	Cip	3	0.25441376
319	Cip	3	0.22046175
320	Cip	3	0.30466274
321	Cip	3	0.33227705
322	Cip	3	0.41738343
323	Cip	3	0.35129018
324	Cip	3	0.38071526
325	Cip	3	0.33952014
326	Cip	3	0.21186057
327	Cip	3	0.33816206
328	Cip	3	0.28021729
329	Cip	3	0.38795835
330	Cip	3	0.21774559
331	Mix	3	0.17161572
332	Mix	3	0.24366812
333	Mix	3	0.17772926
334	Mix	3	0.20305677
335	Mix	3	0.31790393
336	Mix	3	0.1510917
337	Mix	3	0.30655022
338	Mix	3	0.14847162
339	Mix	3	0.35895197
340	Mix	3	0.17074236
341	Mix	3	0.51834061
342	Mix	3	0.47849706
343	Mix	3	0.42576419
344	Mix	3	0.22620087
345	Mix	3	0.12620087
346	Mix	3	0.19825328
347	Mix	3	0.4510917
348	Mix	3	0.50430059
349	Mix	3	0.23624454
350	Mix	3	0.3214124
351	Mix	3	0.38614758
352	Mix	3	0.33906745
353	Mix	3	0.26346763
354	Mix	3	0.31145315
355	Mix	3	0.33680398
356	Mix	3	0.20552286
357	Mix	3	0.28112268
358	Mix	3	0.36713445
359	Mix	3	0.28791308
360	Mix	3	0.25215029
