sample	treatment	week	feeding_rate_ug_day
239	Mix	2	0.68162198
240	Mix	2	0.263441204
241	NC	3	2.549231337
242	NC	3	1.788095914
243	NC	3	0.5599642
244	NC	3	1.874412584
245	NC	3	0.365155079
246	NC	3	0.229799699
247	NC	3	7.966650339
248	NC	3	0
249	NC	3	1.090727997
250	NC	3	0.81216596
251	NC	3	1.995267044
252	NC	3	0.75177794
253	NC	3	1.213092758
254	NC	3	0.25733453
255	NC	3	1.934683735
256	NC	3	0.714149196
257	NC	3	0.288695627
258	NC	3	0.248149821
259	NC	3	2.419335897
260	NC	3	0.994912491
261	NC	3	3.581503707
262	NC	3	3.400217951
263	NC	3	1.691772569
264	NC	3	3.045209737
265	NC	3	1.885563547
266	NC	3	0.668114018
267	NC	3	0.655237767
268	NC	3	3.63209985
269	NC	3	0.479815797
270	NC	3	NA
271	Pro	3	23.45694323
272	Pro	3	2.659290736
273	Pro	3	0.308938452
274	Pro	3	1.830030773
275	Pro	3	0
276	Pro	3	1.334233864
277	Pro	3	6.978045432
278	Pro	3	1.509189924
279	Pro	3	0.199985341
280	Pro	3	10.90660085
281	Pro	3	NA
282	Pro	3	0.882133807
283	Pro	3	0
284	Pro	3	13.30040794
285	Pro	3	0
286	Pro	3	NA
287	Pro	3	4.113420234
288	Pro	3	0
289	Pro	3	22.16633724
290	Pro	3	2.229118508
291	Pro	3	2.036130617
292	Pro	3	0
293	Pro	3	8.206224699
294	Pro	3	0.953839258
295	Pro	3	NA
296	Pro	3	0.829700052
297	Pro	3	1.233397447
298	Pro	3	0.539479021
299	Pro	3	4.110872648
300	Pro	3	0.457247969
301	Cip	3	1.763534121
302	Cip	3	3.399555928
303	Cip	3	0.989724934
304	Cip	3	0.337699576
305	Cip	3	1.348517394
306	Cip	3	1.453721832
307	Cip	3	0.91203162
308	Cip	3	0.12142217
309	Cip	3	0.219332672
310	Cip	3	3.885464755
311	Cip	3	1.968336642
312	Cip	3	NA
313	Cip	3	11.23372928
314	Cip	3	0
315	Cip	3	NA
316	Cip	3	1.212777372
317	Cip	3	1.601758237
318	Cip	3	0.656612156
319	Cip	3	2.058118924
320	Cip	3	4.697664306
321	Cip	3	2.133147706
322	Cip	3	3.082939338
323	Cip	3	0.574454114
324	Cip	3	4.124187961
325	Cip	3	1.070460945
326	Cip	3	1.960726378
327	Cip	3	4.140895596
328	Cip	3	3.985170874
329	Cip	3	1.087219668
330	Cip	3	5.011377761
331	Mix	3	0.548039278
332	Mix	3	0.532777523
333	Mix	3	0.998680325
334	Mix	3	0.731025374
335	Mix	3	2.604201937
336	Mix	3	1.390570746
337	Mix	3	0.187149096
338	Mix	3	1.237737729
339	Mix	3	1.643491546
340	Mix	3	0.702035731
341	Mix	3	1.553803429
342	Mix	3	1.544212608
343	Mix	3	0.959325209
344	Mix	3	0.777487311
345	Mix	3	0.051564345
346	Mix	3	2.019068322
347	Mix	3	3.306116591
348	Mix	3	1.423431767
349	Mix	3	0.437979972
350	Mix	3	5.163446422
351	Mix	3	1.882613747
352	Mix	3	1.396453366
353	Mix	3	0.893075133
354	Mix	3	2.873302726
355	Mix	3	1.660686911
356	Mix	3	1.634641624
357	Mix	3	1.397815359
358	Mix	3	3.135191523
359	Mix	3	2.009554283
360	Mix	3	1.855256595
