sample	treatment	week	used_in_feeding_assay	afdw	feeding_rate
26	Cip	2	no	0.18967859	1.121587525
27	Cip	2	no	0.20009054	2.637382372
28	Cip	2	no	0.29062924	6.031456498
29	Cip	2	no	0.08782254	0
30	Cip	2	no	0.26799457	0.577036111
1	Mix	2	no	0.18696243	0.919272074
2	Mix	2	no	0.06609325	1.169728268
3	Mix	2	no	0.0909914	1.431243188
4	Mix	2	yes_Mix1	0.13490267	0.501263985
5	Mix	2	no	0.10276143	0.223316679
6	Mix	2	no	0.10819375	0.654950571
7	Mix	2	yes_Mix2	0.16568583	0.991341902
8	Mix	2	no	0.1819828	1.777932173
9	Mix	2	yes_Mix3	0.11543685	0.918135725
10	Mix	2	yes_Mix4	0.15346311	1.021016976
11	Mix	2	no	0.16704391	0.954986034
12	Mix	2	yes_Mix5	0.13082843	1.005727841
13	Mix	2	yes_Mix6	0.10049796	2.112968267
14	Mix	2	no	0.15527388	0.797898084
15	Mix	2	yes_Mix7	0.14622001	0.129399923
16	Mix	2	no	0.15753735	0.732154513
17	Mix	2	yes_Mix8	0.17655048	1.905918958
18	Mix	2	yes_Mix9	0.20416478	0.27589655
19	Mix	2	no	0.14803078	0
20	Mix	2	no	0.13173382	0.574160413
21	Mix	2	no	0.12811227	0
22	Mix	2	no	0.05115437	0.147485071
23	Mix	2	no	0.16704391	0.565095947
24	Mix	2	no	0.06382979	0.776751368
25	Mix	2	no	0.09053871	1.185008107
26	Mix	2	yes_Mix10	0.09370756	1.570177328
27	Mix	2	no	0.14803078	0.933613892
28	Mix	2	no	0.10185604	1.001881156
29	Mix	2	no	0.08601177	0.68162198
30	Mix	2	no	0.13671344	0.263441204
1	NC	3	no	NA	NA
2	NC	3	no	0.3214124	1.788095914
3	NC	3	yes_NC5	0.32910819	0.5599642
4	NC	3	yes_NC6	0.52965143	1.874412584
5	NC	3	no	0.61792666	0.365155079
6	NC	3	no	0.34676324	0.229799699
7	NC	3	yes_NC7	0.39746492	7.966650339
8	NC	3	yes_NC8	0.46265278	0
9	NC	3	no	0.59257583	1.090727997
10	NC	3	yes_NC9	0.57039384	0.81216596
11	NC	3	no	0.42553191	1.995267044
12	NC	3	no	0.42055229	0.75177794
13	NC	3	no	0.47125396	1.213092758
14	NC	3	no	0.6505206	0.25733453
15	NC	3	yes_NC10	0.59574468	1.934683735
16	NC	3	no	0.63331824	0.714149196
17	NC	3	no	0.39655953	0.288695627
18	NC	3	no	0.5387053	0.248149821
19	NC	3	no	0.42009959	2.419335897
20	NC	3	no	0.38750566	0.994912491
21	NC	3	no	0.48347669	3.581503707
22	NC	3	no	0.47034857	3.400217951
23	NC	3	no	0.42055229	1.691772569
24	NC	3	no	0.48664554	3.045209737
25	NC	3	yes_NC1	0.41557266	1.885563547
26	NC	3	yes_NC2	0.46491625	0.668114018
27	NC	3	yes_NC3	0.4056134	0.655237767
28	NC	3	yes_NC4	0.34676324	3.63209985
29	NC	3	no	0.32639203	0.479815797
30	NC	3	no	NA	NA
1	Pro	3	no	0.42779538	23.45694323
2	Pro	3	yes_Pro1	0.45676777	2.659290736
3	Pro	3	no	0.39927569	0.308938452
4	Pro	3	no	0.4898144	1.830030773
5	Pro	3	no	0.7763694	0
6	Pro	3	no	0.78723404	1.334233864
7	Pro	3	yes_Pro2	0.76550475	6.978045432
8	Pro	3	yes_Pro3	0.82888185	1.509189924
9	Pro	3	yes_Pro4	0.6296967	0.199985341
10	Pro	3	no	0.64191942	10.90660085
11	Pro	3	no	NA	NA
12	Pro	3	no	0.64961521	0.882133807
13	Pro	3	no	0.65142598	0
14	Pro	3	no	0.43141693	13.30040794
15	Pro	3	no	0.56994115	0
16	Pro	3	no	NA	NA
17	Pro	3	no	0.52286102	4.113420234
18	Pro	3	yes_Pro5	0.6781349	0
19	Pro	3	no	0.71389769	22.16633724
20	Pro	3	yes_Pro6	0.5106383	2.229118508
21	Pro	3	yes_Pro7	0.50701675	2.036130617
22	Pro	3	no	0.41310044	0
23	Pro	3	yes_Pro8	0.42139738	8.206224699
24	Pro	3	yes_Pro9	0.38558952	0.953839258
25	Pro	3	no	NA	NA
26	Pro	3	yes_Pro10	0.38296943	0.829700052
27	Pro	3	no	0.37510917	1.233397447
