replicate	fa	treatment	fa_conc
S_5	C20:2(n-6)	NC	74.28702
S_5	C20:3(n-6)	NC	0
S_5	C20:4(n-6)	NC	347.75015
S_5	C21:0	NC	0
S_5	C20:5(n-3)	NC	295.95658
S_5	C22:0	NC	0
S_5	C22:1	NC	0
S_5	C22:2	NC	11.97925
S_5	C22:5(n-3)	NC	11.21338
S_5	C22:6(n-3)	NC	10.35829
S_5	C24:0	NC	37.45481
S_5	C24:1	NC	0
S_6	C08:0	NC	0
S_6	C10:0	NC	0
S_6	C11:0	NC	0
S_6	C12:0	NC	0
S_6	C13:0	NC	0
S_6	C14:0	NC	61.80164
S_6	C14:1	NC	0
S_6	C15:0	NC	16.1336
S_6	C15:1	NC	0
S_6	C16:0	NC	2947.96664
S_6	C16:1	NC	574.88836
S_6	C17:0	NC	33.18589
S_6	C17:1	NC	0
S_6	C18:0	NC	494.71193
S_6	C18:1	NC	939.61768
S_6	C18:2(n-6t)	NC	0.01935
S_6	C18:2(n-6c)	NC	621.36677
S_6	C18:3(n-6)	NC	0
S_6	C18:3(n-3)	NC	643.39101
S_6	C18:4(n-3)	NC	28.17734
S_6	C20:0	NC	0.24473
S_6	C20:1	NC	61.43815
S_6	C20:2(n-6)	NC	94.73736
S_6	C20:3(n-6)	NC	16.53189
S_6	C20:4(n-6)	NC	446.30929
S_6	C21:0	NC	0
S_6	C20:5(n-3)	NC	334.0607
S_6	C22:0	NC	0
S_6	C22:1	NC	0
S_6	C22:2	NC	0.12514
S_6	C22:5(n-3)	NC	15.35928
S_6	C22:6(n-3)	NC	18.5093
S_6	C24:0	NC	21.67302
S_6	C24:1	NC	0
S_7	C08:0	NC	0
S_7	C10:0	NC	0
S_7	C11:0	NC	0
S_7	C12:0	NC	0
S_7	C13:0	NC	1.19713
S_7	C14:0	NC	124.9714
S_7	C14:1	NC	0
S_7	C15:0	NC	18.70716
S_7	C15:1	NC	0
S_7	C16:0	NC	2801.97416
S_7	C16:1	NC	742.90657
S_7	C17:0	NC	35.36778
S_7	C17:1	NC	6.21775
S_7	C18:0	NC	289.90453
S_7	C18:1	NC	764.37254
S_7	C18:2(n-6t)	NC	1.83584
S_7	C18:2(n-6c)	NC	446.19199
S_7	C18:3(n-6)	NC	0
S_7	C18:3(n-3)	NC	425.4812
S_7	C18:4(n-3)	NC	21.87249
S_7	C20:0	NC	0
S_7	C20:1	NC	0
S_7	C20:2(n-6)	NC	73.67352
S_7	C20:3(n-6)	NC	12.52257
S_7	C20:4(n-6)	NC	424.54862
S_7	C21:0	NC	0
S_7	C20:5(n-3)	NC	353.12709
S_7	C22:0	NC	0
S_7	C22:1	NC	0
S_7	C22:2	NC	0
S_7	C22:5(n-3)	NC	11.63804
S_7	C22:6(n-3)	NC	16.23107
S_7	C24:0	NC	14.43333
S_7	C24:1	NC	0
S_8	C08:0	NC	0.05225
S_8	C10:0	NC	0
S_8	C11:0	NC	0
S_8	C12:0	NC	0
S_8	C13:0	NC	0
S_8	C14:0	NC	66.84984
S_8	C14:1	NC	0
S_8	C15:0	NC	9.84699
S_8	C15:1	NC	0
S_8	C16:0	NC	2154.80237
S_8	C16:1	NC	622.87243
S_8	C17:0	NC	20.67302
S_8	C17:1	NC	0
S_8	C18:0	NC	150.34824
S_8	C18:1	NC	784.08929
S_8	C18:2(n-6t)	NC	1.03553
S_8	C18:2(n-6c)	NC	441.0381
S_8	C18:3(n-6)	NC	0
S_8	C18:3(n-3)	NC	500.16584
S_8	C18:4(n-3)	NC	27.11068
S_8	C20:0	NC	0
S_8	C20:1	NC	35.80981
S_8	C20:2(n-6)	NC	68.76313
S_8	C20:3(n-6)	NC	10.67231
S_8	C20:4(n-6)	NC	323.62446
S_8	C21:0	NC	0
S_8	C20:5(n-3)	NC	340.79686
S_8	C22:0	NC	0
S_8	C22:1	NC	0
S_8	C22:2	NC	11.68443
S_8	C22:5(n-3)	NC	10.02704
S_8	C22:6(n-3)	NC	6.75525
S_8	C24:0	NC	0
S_8	C24:1	NC	0
S_9	C08:0	NC	0
S_9	C10:0	NC	0
S_9	C11:0	NC	0
S_9	C12:0	NC	0
S_9	C13:0	NC	0
S_9	C14:0	NC	56.22656
S_9	C14:1	NC	0
S_9	C15:0	NC	15.70154
S_9	C15:1	NC	0
S_9	C16:0	NC	2321.30313
S_9	C16:1	NC	614.48813
S_9	C17:0	NC	31.20418
S_9	C17:1	NC	1.88618
S_9	C18:0	NC	248.48161
S_9	C18:1	NC	641.39334
S_9	C18:2(n-6t)	NC	1.84772
S_9	C18:2(n-6c)	NC	388.55902
S_9	C18:3(n-6)	NC	0.34671
S_9	C18:3(n-3)	NC	372.6458
S_9	C18:4(n-3)	NC	19.72971
S_9	C20:0	NC	5.60426
S_9	C20:1	NC	32.87203
S_9	C20:2(n-6)	NC	66.35013
S_9	C20:3(n-6)	NC	0
S_9	C20:4(n-6)	NC	429.21159
S_9	C21:0	NC	0
S_9	C20:5(n-3)	NC	367.50116
S_9	C22:0	NC	0
S_9	C22:1	NC	0
S_9	C22:2	NC	0.02328
S_9	C22:5(n-3)	NC	15.53595
S_9	C22:6(n-3)	NC	17.35194
S_9	C24:0	NC	26.81361
S_9	C24:1	NC	0
S_10	C08:0	NC	0
S_10	C10:0	NC	0
S_10	C11:0	NC	0
S_10	C12:0	NC	0
S_10	C13:0	NC	0
S_10	C14:0	NC	47.85036
S_10	C14:1	NC	0
S_10	C15:0	NC	8.65811
S_10	C15:1	NC	0
S_10	C16:0	NC	1458.3153
S_10	C16:1	NC	408.20638
S_10	C17:0	NC	17.58612
S_10	C17:1	NC	0
S_10	C18:0	NC	106.19204
S_10	C18:1	NC	593.7636
S_10	C18:2(n-6t)	NC	0
S_10	C18:2(n-6c)	NC	304.06933
S_10	C18:3(n-6)	NC	0
S_10	C18:3(n-3)	NC	266.49281
S_10	C18:4(n-3)	NC	10.15171
S_10	C20:0	NC	0.07843
S_10	C20:1	NC	29.46987
S_10	C20:2(n-6)	NC	52.21607
S_10	C20:3(n-6)	NC	0
S_10	C20:4(n-6)	NC	208.52351
S_10	C21:0	NC	0
S_10	C20:5(n-3)	NC	204.49459
S_10	C22:0	NC	0
S_10	C22:1	NC	0
S_10	C22:2	NC	0
S_10	C22:5(n-3)	NC	6.66039
S_10	C22:6(n-3)	NC	7.90244
S_10	C24:0	NC	0
S_10	C24:1	NC	0
S_11	C08:0	Pro	0.22103
S_11	C10:0	Pro	0
S_11	C11:0	Pro	0
S_11	C12:0	Pro	0
S_11	C13:0	Pro	0
S_11	C14:0	Pro	84.43599
S_11	C14:1	Pro	0
S_11	C15:0	Pro	16.36273
S_11	C15:1	Pro	0
S_11	C16:0	Pro	3058.62843
S_11	C16:1	Pro	902.77014
S_11	C17:0	Pro	33.43007
S_11	C17:1	Pro	0
S_11	C18:0	Pro	270.46224
S_11	C18:1	Pro	832.47896
S_11	C18:2(n-6t)	Pro	0.02018
S_11	C18:2(n-6c)	Pro	408.50563
S_11	C18:3(n-6)	Pro	0
S_11	C18:3(n-3)	Pro	318.97726
S_11	C18:4(n-3)	Pro	23.0718
S_11	C20:0	Pro	0.09224
S_11	C20:1	Pro	34.92359
S_11	C20:2(n-6)	Pro	72.26103
S_11	C20:3(n-6)	Pro	0
S_11	C20:4(n-6)	Pro	317.67486
S_11	C21:0	Pro	0
S_11	C20:5(n-3)	Pro	315.18048
S_11	C22:0	Pro	0
S_11	C22:1	Pro	0
S_11	C22:2	Pro	0
S_11	C22:5(n-3)	Pro	9.70469
S_11	C22:6(n-3)	Pro	7.33064
S_11	C24:0	Pro	21.94968
S_11	C24:1	Pro	0
S_12	C08:0	Pro	0
S_12	C10:0	Pro	0
S_12	C11:0	Pro	0
S_12	C12:0	Pro	0
S_12	C13:0	Pro	0
S_12	C14:0	Pro	16.64005
S_12	C14:1	Pro	0
S_12	C15:0	Pro	10.95887
S_12	C15:1	Pro	0
S_12	C16:0	Pro	1469.86754
S_12	C16:1	Pro	95.6797
S_12	C17:0	Pro	23.31056
S_12	C17:1	Pro	0
S_12	C18:0	Pro	470.15236
S_12	C18:1	Pro	5.85139
S_12	C18:2(n-6t)	Pro	0.03338
S_12	C18:2(n-6c)	Pro	317.00372
S_12	C18:3(n-6)	Pro	0
S_12	C18:3(n-3)	Pro	193.97581
S_12	C18:4(n-3)	Pro	9.33612
S_12	C20:0	Pro	0
S_12	C20:1	Pro	57.369
S_12	C20:2(n-6)	Pro	37.99065
S_12	C20:3(n-6)	Pro	53.84498
S_12	C20:4(n-6)	Pro	363.4238
S_12	C21:0	Pro	0
S_12	C20:5(n-3)	Pro	249.55928
S_12	C22:0	Pro	0
S_12	C22:1	Pro	0
S_12	C22:2	Pro	0
S_12	C22:5(n-3)	Pro	8.53722
S_12	C22:6(n-3)	Pro	3.20174
S_12	C24:0	Pro	22.4013
