date	day	time_of_day	temperature	light_intensity
20230408	8	1	12.46	0
20230408	8	2	12.5	0
20230408	8	3	12.5	0
20230408	8	4	12.48	0
20230408	8	5	12.47	0
20230408	8	6	12.55	327.1
20230408	8	7	12.57	314.4
20230408	8	8	12.85	348.3
20230408	8	9	13.23	313.5
20230408	8	10	13.36	310.8
20230408	8	11	13.56	307.2
20230408	8	12	13.6	318.5
20230408	8	13	13.79	332.6
20230408	8	14	13.8	316.8
20230408	8	15	13.87	331.8
20230408	8	16	13.89	335.4
20230408	8	17	13.9	343.7
20230408	8	18	13.92	319.5
20230408	8	19	13.88	305.6
20230408	8	20	13.9	333.3
20230408	8	21	13.95	306.7
20230408	8	22	13.95	0
20230408	8	23	13.54	0
20230409	9	0	12.78	0
20230409	9	1	12.75	0
20230409	9	2	12.64	0
20230409	9	3	12.65	0
20230409	9	4	12.56	0
20230409	9	5	12.57	0
20230409	9	6	12.53	349.4
20230409	9	7	12.53	357.8
20230409	9	8	12.77	300.2
20230409	9	9	13	330.5
20230409	9	10	13.25	334.7
20230409	9	11	13.49	315.8
20230409	9	12	13.57	360.2
20230409	9	13	13.63	335.8
20230409	9	14	13.69	353.6
20230409	9	15	13.74	336.8
20230409	9	16	13.78	338.4
20230409	9	17	13.81	354.6
20230409	9	18	13.86	322.4
20230409	9	19	13.89	328.8
20230409	9	20	13.88	314.7
20230409	9	21	13.93	301.9
20230409	9	22	13.95	0
20230409	9	23	13.61	0
20230410	10	0	12.84	0
20230410	10	1	12.75	0
20230410	10	2	12.5	0
20230410	10	3	12.52	0
20230410	10	4	12.48	0
20230410	10	5	12.5	0
20230410	10	6	12.5	341.3
20230410	10	7	12.53	302.8
20230410	10	8	12.69	346.4
20230410	10	9	13.22	322.6
20230410	10	10	13.34	309.8
20230410	10	11	13.44	323.1
20230410	10	12	13.49	310.2
20230410	10	13	13.63	359.9
20230410	10	14	13.69	311.4
20230410	10	15	13.77	329.5
20230410	10	16	13.84	337.7
20230410	10	17	13.89	349.6
20230410	10	18	13.86	334.3
20230410	10	19	13.95	312.2
20230410	10	20	14	317.4
20230410	10	21	14.05	306.1
20230410	10	22	13.88	0
20230410	10	23	13.49	0
20230411	11	0	12.59	0
20230411	11	1	12.4	0
20230411	11	2	12.43	0
20230411	11	3	12.45	0
20230411	11	4	12.45	0
20230411	11	5	12.5	0
20230411	11	6	12.49	316.6
20230411	11	7	12.46	344.4
20230411	11	8	12.83	305.9
20230411	11	9	13.11	355.5
20230411	11	10	13.37	358.2
20230411	11	11	13.52	327.5
20230411	11	12	13.66	330.6
20230411	11	13	13.77	356.4
20230411	11	14	13.8	327.4
20230411	11	15	13.83	330.9
20230411	11	16	13.86	347.2
20230411	11	17	13.89	318.5
20230411	11	18	13.99	309.5
20230411	11	19	13.94	335.8
20230411	11	20	13.96	346.8
20230411	11	21	14.02	358.9
20230411	11	22	13.85	0
20230411	11	23	13.37	0
20230412	12	0	12.68	0
20230412	12	1	12.5	0
20230412	12	2	12.4	0
20230412	12	3	12.45	0
20230412	12	4	12.45	0
20230412	12	5	12.48	0
20230412	12	6	12.47	355.2
20230412	12	7	12.46	300.2
20230412	12	8	12.79	345.7
20230412	12	9	13.23	350.3
20230412	12	10	13.32	336.7
20230412	12	11	13.49	351.2
20230412	12	12	13.54	322.8
20230412	12	13	13.66	323.4
20230412	12	14	13.7	318.4
20230412	12	15	13.76	315.8
20230412	12	16	13.79	342.6
20230412	12	17	13.85	306.8
20230412	12	18	13.87	312.4
20230412	12	19	13.93	303.2
20230412	12	20	13.97	328.5
20230412	12	21	13.98	337.5
20230412	12	22	13.98	0
20230412	12	23	13.45	0
20230413	13	0	12.67	0
20230413	13	1	12.58	0
20230413	13	2	12.56	0
20230413	13	3	12.54	0
20230413	13	4	12.44	0
20230413	13	5	12.45	0
20230413	13	6	12.46	317.4
20230413	13	7	12.46	359.8
20230413	13	8	12.91	344.2
20230413	13	9	13.05	347.5
20230413	13	10	13.28	324.3
20230413	13	11	13.49	334.1
20230413	13	12	13.53	304.2
20230413	13	13	13.59	326.8
20230413	13	14	13.64	308.4
20230413	13	15	13.71	339.7
20230413	13	16	13.77	330.8
20230413	13	17	13.79	313.2
20230413	13	18	13.86	314.5
20230413	13	19	13.88	352.6
20230413	13	20	13.92	302.4
20230413	13	21	13.96	349.7
20230413	13	22	13.93	0
20230413	13	23	13.55	0
20230414	14	0	12.64	0
20230414	14	1	12.6	0
20230414	14	2	12.53	0
20230414	14	3	12.51	0
20230414	14	4	12.51	0
20230414	14	5	12.5	0
20230414	14	6	12.49	340.6
20230414	14	7	12.47	321.8
20230414	14	8	12.87	341.2
20230414	14	9	13.32	332.6
20230414	14	10	13.4	329.7
20230414	14	11	13.59	356.7
20230414	14	12	13.66	309.5
20230414	14	13	13.69	342.3
20230414	14	14	13.75	332.8
20230414	14	15	13.8	307.4
20230414	14	16	13.9	302.3
20230414	14	17	13.9	320.8
20230414	14	18	13.91	310.4
20230414	14	19	13.94	330.4
20230414	14	20	13.94	347.3
20230414	14	21	13.97	345.6
20230414	14	22	13.99	0
20230414	14	23	13.56	0
20230415	15	0	12.69	0
20230415	15	1	12.4	0
20230415	15	2	12.42	0
20230415	15	3	12.42	0
20230415	15	4	12.45	0
20230415	15	5	12.43	0
20230415	15	6	12.4	344.6
20230415	15	7	12.4	333.8
20230415	15	8	12.69	315.4
20230415	15	9	13.11	304.9
20230415	15	10	13.45	359.4
20230415	15	11	13.52	350.1
20230415	15	12	13.59	309.9
20230415	15	13	13.66	312.2
