replicate	fa	week	treatment	fa_conc
B_5	C15:1	2	NC	0.00000
B_5	C16:0	2	NC	2320.17535
B_5	C16:1	2	NC	433.46531
B_5	C17:0	2	NC	8.99903
B_5	C17:1	2	NC	10.34720
B_5	C18:0	2	NC	0.00000
B_5	C18:1	2	NC	0.00000
B_5	C18:2(n-6t)	2	NC	3.03905
B_5	C18:2(n-6c)	2	NC	826.61418
B_5	C18:3(n-6)	2	NC	0.00000
B_5	C18:3(n-3)	2	NC	1547.54604
B_5	C18:4(n-3)	2	NC	101.09554
B_5	C20:0	2	NC	9.98669
B_5	C20:1	2	NC	19.73745
B_5	C20:2(n-6)	2	NC	7.45164
B_5	C20:3(n-6)	2	NC	0.00000
B_5	C20:4(n-6)	2	NC	64.28794
B_5	C20:3(n-3)	2	NC	0.00000
B_5	C21:0	2	NC	0.00000
B_5	C20:5(n-3)	2	NC	137.10607
B_5	C22:0	2	NC	0.00000
B_5	C22:1	2	NC	0.00000
B_5	C22:2	2	NC	0.00000
B_5	C22:5(n-3)	2	NC	0.18566
B_5	C22:6(n-3)	2	NC	5.17441
B_5	C24:0	2	NC	22.57311
B_5	C24:1	2	NC	0.00000
B_6	C08:0	2	Cip	0.10612
B_6	C10:0	2	Cip	0.00000
B_6	C11:0	2	Cip	0.00000
B_6	C12:0	2	Cip	2.82385
B_6	C13:0	2	Cip	47.77032
B_6	C14:0	2	Cip	70.32429
B_6	C14:1	2	Cip	3.24016
B_6	C15:0	2	Cip	4.42187
B_6	C15:1	2	Cip	0.00000
B_6	C16:0	2	Cip	1540.42492
B_6	C16:1	2	Cip	246.24615
B_6	C17:0	2	Cip	7.74887
B_6	C17:1	2	Cip	8.40093
B_6	C18:0	2	Cip	129.96835
B_6	C18:1	2	Cip	903.54542
B_6	C18:2(n-6t)	2	Cip	0.00000
B_6	C18:2(n-6c)	2	Cip	728.32491
B_6	C18:3(n-6)	2	Cip	0.15193
B_6	C18:3(n-3)	2	Cip	1141.38534
B_6	C18:4(n-3)	2	Cip	68.94680
B_6	C20:0	2	Cip	6.64369
B_6	C20:1	2	Cip	0.00671
B_6	C20:2(n-6)	2	Cip	0.55757
B_6	C20:3(n-6)	2	Cip	0.00000
B_6	C20:4(n-6)	2	Cip	26.99514
B_6	C20:3(n-3)	2	Cip	1.59996
B_6	C21:0	2	Cip	0.00000
B_6	C20:5(n-3)	2	Cip	71.74609
B_6	C22:0	2	Cip	1.51179
B_6	C22:1	2	Cip	0.00000
B_6	C22:2	2	Cip	0.00356
B_6	C22:5(n-3)	2	Cip	0.00000
B_6	C22:6(n-3)	2	Cip	3.66777
B_6	C24:0	2	Cip	0.00000
B_6	C24:1	2	Cip	0.00000
B_7	C08:0	2	Pro	0.07277
B_7	C10:0	2	Pro	0.45168
B_7	C11:0	2	Pro	0.00000
B_7	C12:0	2	Pro	7.58001
B_7	C13:0	2	Pro	43.40302
B_7	C14:0	2	Pro	93.24210
B_7	C14:1	2	Pro	0.00000
B_7	C15:0	2	Pro	4.71104
B_7	C15:1	2	Pro	0.00000
B_7	C16:0	2	Pro	1377.62048
B_7	C16:1	2	Pro	342.93566
B_7	C17:0	2	Pro	4.63288
B_7	C17:1	2	Pro	5.58119
B_7	C18:0	2	Pro	2.95203
B_7	C18:1	2	Pro	0.00000
B_7	C18:2(n-6t)	2	Pro	0.00520
B_7	C18:2(n-6c)	2	Pro	481.73245
B_7	C18:3(n-6)	2	Pro	36.36290
B_7	C18:3(n-3)	2	Pro	743.62016
B_7	C18:4(n-3)	2	Pro	52.57247
B_7	C20:0	2	Pro	5.50365
B_7	C20:1	2	Pro	8.21230
B_7	C20:2(n-6)	2	Pro	2.30575
B_7	C20:3(n-6)	2	Pro	1.01104
B_7	C20:4(n-6)	2	Pro	37.19841
B_7	C20:3(n-3)	2	Pro	2.93630
B_7	C21:0	2	Pro	0.00000
B_7	C20:5(n-3)	2	Pro	93.91799
B_7	C22:0	2	Pro	0.62812
B_7	C22:1	2	Pro	0.00000
B_7	C22:2	2	Pro	0.00000
B_7	C22:5(n-3)	2	Pro	0.00000
B_7	C22:6(n-3)	2	Pro	2.22263
B_7	C24:0	2	Pro	17.49086
B_7	C24:1	2	Pro	0.00000
B_8	C08:0	2	Mix	0.03415
B_8	C10:0	2	Mix	0.00000
B_8	C11:0	2	Mix	0.00000
B_8	C12:0	2	Mix	7.12528
B_8	C13:0	2	Mix	42.87862
B_8	C14:0	2	Mix	62.97132
B_8	C14:1	2	Mix	0.00000
B_8	C15:0	2	Mix	3.26974
B_8	C15:1	2	Mix	0.00000
B_8	C16:0	2	Mix	953.96009
B_8	C16:1	2	Mix	193.23407
B_8	C17:0	2	Mix	3.57641
B_8	C17:1	2	Mix	4.50330
B_8	C18:0	2	Mix	40.88586
B_8	C18:1	2	Mix	469.90195
B_8	C18:2(n-6t)	2	Mix	0.00256
B_8	C18:2(n-6c)	2	Mix	333.70437
B_8	C18:3(n-6)	2	Mix	0.00000
B_8	C18:3(n-3)	2	Mix	576.56126
B_8	C18:4(n-3)	2	Mix	38.02006
B_8	C20:0	2	Mix	3.58883
B_8	C20:1	2	Mix	6.90618
B_8	C20:2(n-6)	2	Mix	1.56612
B_8	C20:3(n-6)	2	Mix	1.14125
B_8	C20:4(n-6)	2	Mix	24.17865
B_8	C20:3(n-3)	2	Mix	0.00000
B_8	C21:0	2	Mix	0.00000
B_8	C20:5(n-3)	2	Mix	51.93513
B_8	C22:0	2	Mix	0.00000
B_8	C22:1	2	Mix	0.00000
B_8	C22:2	2	Mix	0.00281
B_8	C22:5(n-3)	2	Mix	1.00725
B_8	C22:6(n-3)	2	Mix	2.53483
B_8	C24:0	2	Mix	9.37718
B_8	C24:1	2	Mix	0.00000
B_9	C08:0	3	NC	0.05997
B_9	C10:0	3	NC	1.61799
B_9	C11:0	3	NC	0.07240
B_9	C12:0	3	NC	8.61812
B_9	C13:0	3	NC	62.41895
B_9	C14:0	3	NC	142.59032
B_9	C14:1	3	NC	0.00000
B_9	C15:0	3	NC	8.47294
B_9	C15:1	3	NC	0.00000
B_9	C16:0	3	NC	2611.20730
B_9	C16:1	3	NC	72.83733
B_9	C17:0	3	NC	11.48559
B_9	C17:1	3	NC	9.82822
B_9	C18:0	3	NC	135.03685
B_9	C18:1	3	NC	1050.66257
B_9	C18:2(n-6t)	3	NC	0.00000
B_9	C18:2(n-6c)	3	NC	1123.03902
B_9	C18:3(n-6)	3	NC	0.00000
B_9	C18:3(n-3)	3	NC	1884.18617
B_9	C18:4(n-3)	3	NC	172.89905
B_9	C20:0	3	NC	10.30842
B_9	C20:1	3	NC	17.65674
B_9	C20:2(n-6)	3	NC	8.46496
B_9	C20:3(n-6)	3	NC	0.00000
B_9	C20:4(n-6)	3	NC	79.07202
B_9	C20:3(n-3)	3	NC	0.00000
B_9	C21:0	3	NC	0.00000
B_9	C20:5(n-3)	3	NC	164.55419
B_9	C22:0	3	NC	3.37911
B_9	C22:1	3	NC	0.00000
B_9	C22:2	3	NC	0.00443
B_9	C22:5(n-3)	3	NC	0.78068
B_9	C22:6(n-3)	3	NC	13.06264
B_9	C24:0	3	NC	49.00643
B_9	C24:1	3	NC	0.00000
B_10	C08:0	3	Cip	0.08899
B_10	C10:0	3	Cip	2.06236
B_10	C11:0	3	Cip	#NV
B_10	C12:0	3	Cip	7.12053
