replicate	fa	week	treatment	fa_rel
B_4	C20:3(n-6)	1	Mix	0.143122682
B_4	C20:4(n-6)	1	Mix	0.359808302
B_4	C20:3(n-3)	1	Mix	0
B_4	C21:0	1	Mix	0
B_4	C20:5(n-3)	1	Mix	0.881258052
B_4	C22:0	1	Mix	0.189517574
B_4	C22:1	1	Mix	0
B_4	C22:2	1	Mix	0
B_4	C22:5(n-3)	1	Mix	0.004261137
B_4	C22:6(n-3)	1	Mix	0.186296704
B_4	C24:0	1	Mix	1.398932667
B_4	C24:1	1	Mix	0
B_5	C08:0	2	NC	0.001186781
B_5	C10:0	2	NC	0.01140667
B_5	C11:0	2	NC	0
B_5	C12:0	2	NC	0.251144084
B_5	C13:0	2	NC	0.975554078
B_5	C14:0	2	NC	1.982864503
B_5	C14:1	2	NC	0
B_5	C15:0	2	NC	0.117640346
B_5	C15:1	2	NC	0
B_5	C16:0	2	NC	40.64468532
B_5	C16:1	2	NC	7.593418008
B_5	C17:0	2	NC	0.157644389
B_5	C17:1	2	NC	0.181261538
B_5	C18:0	2	NC	0
B_5	C18:1	2	NC	0
B_5	C18:2(n-6t)	2	NC	0.053237829
B_5	C18:2(n-6c)	2	NC	14.48057508
B_5	C18:3(n-6)	2	NC	0
B_5	C18:3(n-3)	2	NC	27.10981388
B_5	C18:4(n-3)	2	NC	1.770985302
B_5	C20:0	2	NC	0.174946265
B_5	C20:1	2	NC	0.345759318
B_5	C20:2(n-6)	2	NC	0.130537365
B_5	C20:3(n-6)	2	NC	0
B_5	C20:4(n-6)	2	NC	1.126192157
B_5	C20:3(n-3)	2	NC	0
B_5	C21:0	2	NC	0
B_5	C20:5(n-3)	2	NC	2.401815462
B_5	C22:0	2	NC	0
B_5	C22:1	2	NC	0
B_5	C22:2	2	NC	0
B_5	C22:5(n-3)	2	NC	0.003252351
B_5	C22:6(n-3)	2	NC	0.090644948
B_5	C24:0	2	NC	0.395434319
B_5	C24:1	2	NC	0
B_6	C08:0	2	Cip	0.002115397
B_6	C10:0	2	Cip	0
B_6	C11:0	2	Cip	0
B_6	C12:0	2	Cip	0.056290448
B_6	C13:0	2	Cip	0.952251971
B_6	C14:0	2	Cip	1.40184221
B_6	C14:1	2	Cip	0.06458918
B_6	C15:0	2	Cip	0.088145366
B_6	C15:1	2	Cip	0
B_6	C16:0	2	Cip	30.7067823
B_6	C16:1	2	Cip	4.908663076
B_6	C17:0	2	Cip	0.154465665
B_6	C17:1	2	Cip	0.16746384
B_6	C18:0	2	Cip	2.59078498
B_6	C18:1	2	Cip	18.01124611
B_6	C18:2(n-6t)	2	Cip	0
B_6	C18:2(n-6c)	2	Cip	14.51840607
B_6	C18:3(n-6)	2	Cip	0.003028496
B_6	C18:3(n-3)	2	Cip	22.75233964
B_6	C18:4(n-3)	2	Cip	1.374383372
B_6	C20:0	2	Cip	0.132435143
B_6	C20:1	2	Cip	0.000133792
B_6	C20:2(n-6)	2	Cip	0.011114581
B_6	C20:3(n-6)	2	Cip	0
B_6	C20:4(n-6)	2	Cip	0.538120325
B_6	C20:3(n-3)	2	Cip	0.031893577
