fa	replicate	treatment	fa_rel
C20:2(n-6)	S_28	Mix	0.653946206
C20:4(n-6)	S_28	Mix	8.819764509
C20:5(n-3)	S_28	Mix	6.919067438
C22:1	S_28	Mix	0.725591578
C22:2	S_28	Mix	0
C22:5(n-3)	S_28	Mix	0.200756797
C22:6(n-3)	S_28	Mix	0.088542601
C24:0	S_28	Mix	0.178782101
C08:0	S_29	Mix	4.170237027
C12:0	S_29	Mix	0
C13:0	S_29	Mix	0.189120569
C14:0	S_29	Mix	0
C15:0	S_29	Mix	#NV
C16:0	S_29	Mix	57.18189136
C16:1	S_29	Mix	0.427643748
C17:0	S_29	Mix	0
C18:0	S_29	Mix	31.45167764
C18:1	S_29	Mix	0
C18:2(n-6t)	S_29	Mix	0.483772068
C18:2(n-6c)	S_29	Mix	0.144112302
C18:3(n-6)	S_29	Mix	0.376158602
C18:3(n-3)	S_29	Mix	0.692965857
C18:4(n-3)	S_29	Mix	0.317058064
C20:0	S_29	Mix	0.138162523
C20:1	S_29	Mix	0.078350801
C20:2(n-6)	S_29	Mix	0.068263701
C20:4(n-6)	S_29	Mix	0.85194348
C20:5(n-3)	S_29	Mix	0.76980508
C22:1	S_29	Mix	0
C22:2	S_29	Mix	0.154421991
C22:5(n-3)	S_29	Mix	0.713569034
C22:6(n-3)	S_29	Mix	0.428062504
C24:0	S_29	Mix	1.362783648
C08:0	S_30	Mix	0.013729185
C12:0	S_30	Mix	0
C13:0	S_30	Mix	0
C14:0	S_30	Mix	0
C15:0	S_30	Mix	0.132381888
C16:0	S_30	Mix	45.25455751
C16:1	S_30	Mix	2.240452852
C17:0	S_30	Mix	0.726941702
C18:0	S_30	Mix	8.823320676
C18:1	S_30	Mix	6.71488005
C18:2(n-6t)	S_30	Mix	0
C18:2(n-6c)	S_30	Mix	5.811794437
C18:3(n-6)	S_30	Mix	0.056815426
C18:3(n-3)	S_30	Mix	4.840384712
C18:4(n-3)	S_30	Mix	0.007254996
C20:0	S_30	Mix	0.012382968
C20:1	S_30	Mix	0.079337439
C20:2(n-6)	S_30	Mix	0.852408393
C20:4(n-6)	S_30	Mix	14.4136487
C20:5(n-3)	S_30	Mix	9.162026311
C22:1	S_30	Mix	0.266675199
C22:2	S_30	Mix	0.000698807
C22:5(n-3)	S_30	Mix	0.307410774
C22:6(n-3)	S_30	Mix	0.28289798
C24:0	S_30	Mix	0
C08:0	S_31	Cip	0
C12:0	S_31	Cip	0.115055112
C13:0	S_31	Cip	2.231476153
C14:0	S_31	Cip	2.327257628
C15:0	S_31	Cip	0.422522735
C16:0	S_31	Cip	44.29793463
C16:1	S_31	Cip	7.856835376
C17:0	S_31	Cip	0.569778917
C18:0	S_31	Cip	6.184066462
C18:1	S_31	Cip	11.5040531
C18:2(n-6t)	S_31	Cip	0.033958529
C18:2(n-6c)	S_31	Cip	5.593726745
C18:3(n-6)	S_31	Cip	0.014295635
C18:3(n-3)	S_31	Cip	4.987776494
C18:4(n-3)	S_31	Cip	0.226821764
C20:0	S_31	Cip	0
C20:1	S_31	Cip	0.292853854
C20:2(n-6)	S_31	Cip	0.849528306
C20:4(n-6)	S_31	Cip	6.007874539
C20:5(n-3)	S_31	Cip	5.156025282
C22:1	S_31	Cip	0.563316159
C22:2	S_31	Cip	0.000228934
C22:5(n-3)	S_31	Cip	0.204260204
C22:6(n-3)	S_31	Cip	0.189264878
C24:0	S_31	Cip	0.371088566
C08:0	S_32	Cip	0
C12:0	S_32	Cip	0.083050325
C13:0	S_32	Cip	3.297457822
C14:0	S_32	Cip	2.035907623
C15:0	S_32	Cip	0.5409064
C16:0	S_32	Cip	49.91385266
C16:1	S_32	Cip	3.508578554
C17:0	S_32	Cip	0.630606575
C18:0	S_32	Cip	7.257643577
C18:1	S_32	Cip	12.31416973
C18:2(n-6t)	S_32	Cip	0.000763846
C18:2(n-6c)	S_32	Cip	4.908608909
C18:3(n-6)	S_32	Cip	0.011477294
C18:3(n-3)	S_32	Cip	3.657241322
C18:4(n-3)	S_32	Cip	0.012159482
C20:0	S_32	Cip	0.00997004
C20:1	S_32	Cip	0.339406225
C20:2(n-6)	S_32	Cip	0.674974465
C20:4(n-6)	S_32	Cip	5.239436841
C20:5(n-3)	S_32	Cip	4.685610915
C22:1	S_32	Cip	0.303106452
C22:2	S_32	Cip	0.000286768
C22:5(n-3)	S_32	Cip	0.107755557
C22:6(n-3)	S_32	Cip	0.049402493
C24:0	S_32	Cip	0.417626122
C08:0	S_33	Cip	0.006482791
C12:0	S_33	Cip	0
C13:0	S_33	Cip	1.684434942
C14:0	S_33	Cip	1.932610122
C15:0	S_33	Cip	0.369030666
C16:0	S_33	Cip	46.22000623
C16:1	S_33	Cip	6.838147546
C17:0	S_33	Cip	0.552806683
C18:0	S_33	Cip	6.959266232
C18:1	S_33	Cip	11.02431405
C18:2(n-6t)	S_33	Cip	0.000481651
C18:2(n-6c)	S_33	Cip	5.662486472
C18:3(n-6)	S_33	Cip	#NV
C18:3(n-3)	S_33	Cip	5.074981016
C18:4(n-3)	S_33	Cip	0.276592615
C20:0	S_33	Cip	0.139009196
C20:1	S_33	Cip	0.250192689
C20:2(n-6)	S_33	Cip	0.76753836
C20:4(n-6)	S_33	Cip	5.817626137
C20:5(n-3)	S_33	Cip	5.162742164
C22:1	S_33	Cip	0.586352334
C22:2	S_33	Cip	0.000907818
C22:5(n-3)	S_33	Cip	0.146829781
C22:6(n-3)	S_33	Cip	0.143519279
C24:0	S_33	Cip	0.383641229
C08:0	S_34	Cip	0.011458779
C12:0	S_34	Cip	0.079710564
C13:0	S_34	Cip	2.42246992
C14:0	S_34	Cip	1.779866902
C15:0	S_34	Cip	0.209123819
C16:0	S_34	Cip	47.30955133
C16:1	S_34	Cip	8.57875863
C17:0	S_34	Cip	0.481782414
C18:0	S_34	Cip	6.407332477
C18:1	S_34	Cip	9.888650167
C18:2(n-6t)	S_34	Cip	0
C18:2(n-6c)	S_34	Cip	5.472300802
C18:3(n-6)	S_34	Cip	0.007703169
C18:3(n-3)	S_34	Cip	3.447354278
C18:4(n-3)	S_34	Cip	0.002680752
C20:0	S_34	Cip	0.001140639
C20:1	S_34	Cip	0
C20:2(n-6)	S_34	Cip	1.08546912
C20:4(n-6)	S_34	Cip	6.795682907
C20:5(n-3)	S_34	Cip	5.655085291
C22:1	S_34	Cip	0
C22:2	S_34	Cip	0
C22:5(n-3)	S_34	Cip	0.174464392
C22:6(n-3)	S_34	Cip	0.189413643
C24:0	S_34	Cip	0
C08:0	S_35	Cip	0
C12:0	S_35	Cip	0.040371304
C13:0	S_35	Cip	2.524550031
C14:0	S_35	Cip	2.366179296
C15:0	S_35	Cip	0.373859045
C16:0	S_35	Cip	48.74200875
C16:1	S_35	Cip	7.326347092
C17:0	S_35	Cip	0.546023615
C18:0	S_35	Cip	6.964782137
C18:1	S_35	Cip	13.31493761
C18:2(n-6t)	S_35	Cip	0.0079357
C18:2(n-6c)	S_35	Cip	5.024838219
C18:3(n-6)	S_35	Cip	0.003585495
C18:3(n-3)	S_35	Cip	3.774591332
C18:4(n-3)	S_35	Cip	0.015987546
C20:0	S_35	Cip	0.000961318
C20:1	S_35	Cip	0.364257421
C20:2(n-6)	S_35	Cip	0.466713365
C20:4(n-6)	S_35	Cip	3.598893018
C20:5(n-3)	S_35	Cip	3.854310153
C22:1	S_35	Cip	0.533432291
C22:2	S_35	Cip	0
C22:5(n-3)	S_35	Cip	0.094316132
C22:6(n-3)	S_35	Cip	0.061119133
C24:0	S_35	Cip	0
C08:0	S_36	Cip	0.000429007
C12:0	S_36	Cip	0.383265144
C13:0	S_36	Cip	2.22297928
C14:0	S_36	Cip	2.517582371
C15:0	S_36	Cip	0.440388929
C16:0	S_36	Cip	43.70437346
C16:1	S_36	Cip	7.855631418
C17:0	S_36	Cip	0.558339706
C18:0	S_36	Cip	6.347768469
C18:1	S_36	Cip	10.38783334
C18:2(n-6t)	S_36	Cip	0.035701725
C18:2(n-6c)	S_36	Cip	6.332760372
C18:3(n-6)	S_36	Cip	0
C18:3(n-3)	S_36	Cip	6.165091985
C18:4(n-3)	S_36	Cip	0.368463612
C20:0	S_36	Cip	0.002186146
C20:1	S_36	Cip	0.359207125
C20:2(n-6)	S_36	Cip	0.874192534
C20:4(n-6)	S_36	Cip	5.936623324
C20:5(n-3)	S_36	Cip	4.821108615
C22:1	S_36	Cip	0.324298686
C22:2	S_36	Cip	0.000668856
C22:5(n-3)	S_36	Cip	0.174992244
C22:6(n-3)	S_36	Cip	0.186113657
C24:0	S_36	Cip	0
C08:0	S_37	Cip	0.000700022
C12:0	S_37	Cip	0.301450594
C13:0	S_37	Cip	3.730862196
C14:0	S_37	Cip	2.388153585
C15:0	S_37	Cip	0.39022409
C16:0	S_37	Cip	47.4237208
C16:1	S_37	Cip	6.678277228
C17:0	S_37	Cip	0.481764129
C18:0	S_37	Cip	7.304110058
C18:1	S_37	Cip	13.28090172
C18:2(n-6t)	S_37	Cip	0.000368207
C18:2(n-6c)	S_37	Cip	4.66083027
C18:3(n-6)	S_37	Cip	0.005489701
C18:3(n-3)	S_37	Cip	3.636364856
C18:4(n-3)	S_37	Cip	0.022448365
C20:0	S_37	Cip	0.000639212
C20:1	S_37	Cip	0.358783805
C20:2(n-6)	S_37	Cip	0.54625247
C20:4(n-6)	S_37	Cip	3.831383854
C20:5(n-3)	S_37	Cip	4.093674068
C22:1	S_37	Cip	0.731522487
C22:2	S_37	Cip	0.001904052
C22:5(n-3)	S_37	Cip	0.109277553
C22:6(n-3)	S_37	Cip	0.020896674
C24:0	S_37	Cip	0
C08:0	S_38	Cip	0.005521272
C12:0	S_38	Cip	0.186864343
C13:0	S_38	Cip	2.618115664
C14:0	S_38	Cip	2.484829434
C15:0	S_38	Cip	0.426007022
C16:0	S_38	Cip	47.39100802
C16:1	S_38	Cip	9.490051162
C17:0	S_38	Cip	0.486135212
C18:0	S_38	Cip	6.414877552
C18:1	S_38	Cip	10.29679607
C18:2(n-6t)	S_38	Cip	0
C18:2(n-6c)	S_38	Cip	4.796468474
C18:3(n-6)	S_38	Cip	0
C18:3(n-3)	S_38	Cip	3.748462052
C18:4(n-3)	S_38	Cip	0.323258052
C20:0	S_38	Cip	0.027137754
C20:1	S_38	Cip	0.004402152
C20:2(n-6)	S_38	Cip	0.526030377
C20:4(n-6)	S_38	Cip	4.523657817
C20:5(n-3)	S_38	Cip	5.029502567
C22:1	S_38	Cip	0.532063114
C22:2	S_38	Cip	0.00084992
C22:5(n-3)	S_38	Cip	0.14075485
C22:6(n-3)	S_38	Cip	0.080436922
C24:0	S_38	Cip	0.466770195
C08:0	S_39	Cip	0.000643969
C12:0	S_39	Cip	0.358049229
C13:0	S_39	Cip	2.287899268
C14:0	S_39	Cip	2.142947603
C15:0	S_39	Cip	0.265512986
C16:0	S_39	Cip	44.28561015
C16:1	S_39	Cip	9.867549694
C17:0	S_39	Cip	0.380679908
C18:0	S_39	Cip	5.696716007
C18:1	S_39	Cip	9.782651339
C18:2(n-6t)	S_39	Cip	0.046311169
C18:2(n-6c)	S_39	Cip	5.310941496
C18:3(n-6)	S_39	Cip	0.540137616
C18:3(n-3)	S_39	Cip	5.278004982
C18:4(n-3)	S_39	Cip	0.429632162
C20:0	S_39	Cip	0.00016414
C20:1	S_39	Cip	0.179900549
C20:2(n-6)	S_39	Cip	0.683268062
C20:4(n-6)	S_39	Cip	5.944672936
C20:5(n-3)	S_39	Cip	5.662122253
C22:1	S_39	Cip	0.129932212
C22:2	S_39	Cip	0.130494551
C22:5(n-3)	S_39	Cip	0.181117094
C22:6(n-3)	S_39	Cip	0.158536024
C24:0	S_39	Cip	0.256504604
C08:0	S_40	Cip	0.004101527
C12:0	S_40	Cip	0.424520385
C13:0	S_40	Cip	2.56879203
C14:0	S_40	Cip	2.155596965
C15:0	S_40	Cip	0.371068444
C16:0	S_40	Cip	41.86778679
C16:1	S_40	Cip	8.23402023
C17:0	S_40	Cip	0.438602669
C18:0	S_40	Cip	5.926687475
C18:1	S_40	Cip	11.86406274
C18:2(n-6t)	S_40	Cip	0
C18:2(n-6c)	S_40	Cip	6.428466811
C18:3(n-6)	S_40	Cip	0
C18:3(n-3)	S_40	Cip	6.686589626
C18:4(n-3)	S_40	Cip	0.313318865
C20:0	S_40	Cip	0.003287926
C20:1	S_40	Cip	0.383599654
C20:2(n-6)	S_40	Cip	0.919409692
C20:4(n-6)	S_40	Cip	5.50307344
C20:5(n-3)	S_40	Cip	4.820376064
C22:1	S_40	Cip	0.459658094
C22:2	S_40	Cip	0.000543747
C22:5(n-3)	S_40	Cip	0.17059874
C22:6(n-3)	S_40	Cip	0.121334778
C24:0	S_40	Cip	0.334503317
