fa	replicate	treatment	fa_rel
C20:4(n-6)	S_6	NC	6.069165869
C20:5(n-3)	S_6	NC	4.542746028
C22:1	S_6	NC	0
C22:2	S_6	NC	0.001701742
C22:5(n-3)	S_6	NC	0.208864218
C22:6(n-3)	S_6	NC	0.251699906
C24:0	S_6	NC	0.29472203
C08:0	S_7	NC	0
C12:0	S_7	NC	0
C13:0	S_7	NC	0.018225514
C14:0	S_7	NC	1.902605636
C15:0	S_7	NC	0.284803901
C16:0	S_7	NC	42.65817349
C16:1	S_7	NC	11.31025322
C17:0	S_7	NC	0.538450621
C18:0	S_7	NC	4.413601624
C18:1	S_7	NC	11.63705827
C18:2(n-6t)	S_7	NC	0.027949367
C18:2(n-6c)	S_7	NC	6.792973152
C18:3(n-6)	S_7	NC	0
C18:3(n-3)	S_7	NC	6.477665247
C18:4(n-3)	S_7	NC	0.332993967
C20:0	S_7	NC	0
C20:1	S_7	NC	0
C20:2(n-6)	S_7	NC	1.121629852
C20:4(n-6)	S_7	NC	6.46346742
C20:5(n-3)	S_7	NC	5.376122592
C22:1	S_7	NC	0
C22:2	S_7	NC	0
C22:5(n-3)	S_7	NC	0.177181394
C22:6(n-3)	S_7	NC	0.247107058
C24:0	S_7	NC	0.219737675
C08:0	S_8	NC	0.000937001
C12:0	S_8	NC	0
C13:0	S_8	NC	0
C14:0	S_8	NC	1.198810854
C15:0	S_8	NC	0.176584977
C16:0	S_8	NC	38.6418372
C16:1	S_8	NC	11.16990375
C17:0	S_8	NC	0.37072709
C18:0	S_8	NC	2.696178688
C18:1	S_8	NC	14.06098813
C18:2(n-6t)	S_8	NC	0.018570095
C18:2(n-6c)	S_8	NC	7.90908833
C18:3(n-6)	S_8	NC	0
C18:3(n-3)	S_8	NC	8.969419685
C18:4(n-3)	S_8	NC	0.486172889
C20:0	S_8	NC	0
C20:1	S_8	NC	0.642173452
C20:2(n-6)	S_8	NC	1.233121771
C20:4(n-6)	S_8	NC	5.803522317
C20:5(n-3)	S_8	NC	6.111473193
C22:1	S_8	NC	0
C22:2	S_8	NC	0.209535585
C22:5(n-3)	S_8	NC	0.179813753
C22:6(n-3)	S_8	NC	0.121141249
C24:0	S_8	NC	0
C08:0	S_9	NC	0
C12:0	S_9	NC	0
C13:0	S_9	NC	0
C14:0	S_9	NC	0.991092317
C15:0	S_9	NC	0.276767246
C16:0	S_9	NC	40.9170601
C16:1	S_9	NC	10.83143662
C17:0	S_9	NC	0.550028753
C18:0	S_9	NC	4.379926362
C18:1	S_9	NC	11.30568844
C18:2(n-6t)	S_9	NC	0.032569239
C18:2(n-6c)	S_9	NC	6.849037684
C18:3(n-6)	S_9	NC	0.006111426
C18:3(n-3)	S_9	NC	6.568539139
C18:4(n-3)	S_9	NC	0.347770844
C20:0	S_9	NC	0.098784971
C20:1	S_9	NC	0.579427455
C20:2(n-6)	S_9	NC	1.169538081
C20:4(n-6)	S_9	NC	7.565610977
C20:5(n-3)	S_9	NC	6.47785576
C22:1	S_9	NC	0
C22:2	S_9	NC	0.000410373
C22:5(n-3)	S_9	NC	0.273848582
C22:6(n-3)	S_9	NC	0.305858552
C24:0	S_9	NC	0.472637075
C08:0	S_10	NC	0
C12:0	S_10	NC	0
C13:0	S_10	NC	0
C14:0	S_10	NC	1.282634402
C15:0	S_10	NC	0.232081716
C16:0	S_10	NC	39.0903114
C16:1	S_10	NC	10.94201948
C17:0	S_10	NC	0.471398066
C18:0	S_10	NC	2.846489908
C18:1	S_10	NC	15.91590257
C18:2(n-6t)	S_10	NC	0
