Sample	Treatment	Week	AFDW
29	Pro	Week2	0.13218651
30	Pro	Week2	0.12765957
1	Cip	Week2	0.24626528
2	Cip	Week2	0.35581711
3	Cip	Week2	0.36079674
4	Cip	Week2	0.35038479
5	Cip	Week2	0.4332277
6	Cip	Week2	0.40923495
7	Cip	Week2	0.39022182
8	Cip	Week2	#NV
9	Cip	Week2	0.3286555
10	Cip	Week2	0.35626981
11	Cip	Week2	0.27161612
12	Cip	Week2	#NV
13	Cip	Week2	0.41557266
14	Cip	Week2	0.34133092
15	Cip	Week2	#NV
16	Cip	Week2	0.3567225
17	Cip	Week2	#NV
18	Cip	Week2	0.18515165
19	Cip	Week2	0.16296967
20	Cip	Week2	0.16432775
21	Cip	Week2	#NV
22	Cip	Week2	0.31779086
23	Cip	Week2	0.25033952
24	Cip	Week2	0.26754187
25	Cip	Week2	0.28066999
26	Cip	Week2	0.18967859
27	Cip	Week2	0.20009054
28	Cip	Week2	0.29062924
29	Cip	Week2	0.08782254
30	Cip	Week2	0.26799457
1	Mix	Week2	0.18696243
2	Mix	Week2	0.06609325
3	Mix	Week2	0.0909914
4	Mix	Week2	0.13490267
5	Mix	Week2	0.10276143
6	Mix	Week2	0.10819375
7	Mix	Week2	0.16568583
8	Mix	Week2	0.1819828
9	Mix	Week2	0.11543685
10	Mix	Week2	0.15346311
11	Mix	Week2	0.16704391
12	Mix	Week2	0.13082843
13	Mix	Week2	0.10049796
14	Mix	Week2	0.15527388
15	Mix	Week2	0.14622001
16	Mix	Week2	0.15753735
17	Mix	Week2	0.17655048
18	Mix	Week2	0.20416478
19	Mix	Week2	0.14803078
20	Mix	Week2	0.13173382
21	Mix	Week2	0.12811227
22	Mix	Week2	0.05115437
23	Mix	Week2	0.16704391
24	Mix	Week2	0.06382979
25	Mix	Week2	0.09053871
26	Mix	Week2	0.09370756
27	Mix	Week2	0.14803078
28	Mix	Week2	0.10185604
29	Mix	Week2	0.08601177
30	Mix	Week2	0.13671344
1	NC	Week3	0.23630602
2	NC	Week3	0.3214124
3	NC	Week3	0.32910819
4	NC	Week3	0.52965143
5	NC	Week3	0.61792666
6	NC	Week3	0.34676324
7	NC	Week3	0.39746492
8	NC	Week3	0.46265278
9	NC	Week3	0.59257583
10	NC	Week3	0.57039384
11	NC	Week3	0.42553191
12	NC	Week3	0.42055229
13	NC	Week3	0.47125396
14	NC	Week3	0.6505206
15	NC	Week3	0.59574468
16	NC	Week3	0.63331824
17	NC	Week3	0.39655953
18	NC	Week3	0.5387053
19	NC	Week3	0.42009959
20	NC	Week3	0.38750566
21	NC	Week3	0.48347669
22	NC	Week3	0.47034857
23	NC	Week3	0.42055229
24	NC	Week3	0.48664554
25	NC	Week3	0.41557266
26	NC	Week3	0.46491625
27	NC	Week3	0.4056134
28	NC	Week3	0.34676324
29	NC	Week3	0.32639203
30	NC	Week3	#NV
1	Pro	Week3	0.42779538
2	Pro	Week3	0.45676777
3	Pro	Week3	0.39927569
4	Pro	Week3	0.4898144
5	Pro	Week3	0.7763694
6	Pro	Week3	0.78723404
7	Pro	Week3	0.76550475
8	Pro	Week3	0.82888185
9	Pro	Week3	0.6296967
10	Pro	Week3	0.64191942
11	Pro	Week3	0.6781349
12	Pro	Week3	0.64961521
13	Pro	Week3	0.65142598
14	Pro	Week3	0.43141693
15	Pro	Week3	0.56994115
16	Pro	Week3	#NV
17	Pro	Week3	0.52286102
18	Pro	Week3	0.6781349
19	Pro	Week3	0.71389769
20	Pro	Week3	0.5106383
21	Pro	Week3	0.50701675
22	Pro	Week3	0.41310044
23	Pro	Week3	0.42139738
24	Pro	Week3	0.38558952
25	Pro	Week3	#NV
26	Pro	Week3	0.38296943
27	Pro	Week3	0.37510917
28	Pro	Week3	0.42183406
29	Pro	Week3	0.47772926
30	Pro	Week3	0.43056769
1	Cip	Week3	0.33952014
2	Cip	Week3	0.57220462
3	Cip	Week3	0.3354459
4	Cip	Week3	0.61928474
5	Cip	Week3	0.60027162
6	Cip	Week3	0.39927569
7	Cip	Week3	0.51788139
8	Cip	Week3	0.4685378
9	Cip	Week3	0.62652784
10	Cip	Week3	0.49569941
11	Cip	Week3	0.14214577
12	Cip	Week3	#NV
13	Cip	Week3	0.46899049
14	Cip	Week3	0.6016297
15	Cip	Week3	#NV
16	Cip	Week3	0.1960163
17	Cip	Week3	0.25712992
18	Cip	Week3	0.25441376
19	Cip	Week3	0.22046175
20	Cip	Week3	0.30466274
21	Cip	Week3	0.33227705
22	Cip	Week3	0.41738343
23	Cip	Week3	0.35129018
24	Cip	Week3	0.38071526
25	Cip	Week3	0.33952014
26	Cip	Week3	0.21186057
27	Cip	Week3	0.33816206
28	Cip	Week3	0.28021729
29	Cip	Week3	0.38795835
30	Cip	Week3	0.21774559
1	Mix	Week3	0.17161572
2	Mix	Week3	0.24366812
3	Mix	Week3	0.17772926
4	Mix	Week3	0.20305677
5	Mix	Week3	0.31790393
6	Mix	Week3	0.1510917
7	Mix	Week3	0.30655022
8	Mix	Week3	0.14847162
9	Mix	Week3	0.35895197
10	Mix	Week3	0.17074236
11	Mix	Week3	0.51834061
12	Mix	Week3	0.47849706
13	Mix	Week3	0.42576419
14	Mix	Week3	0.22620087
15	Mix	Week3	0.12620087
16	Mix	Week3	0.19825328
17	Mix	Week3	0.4510917
18	Mix	Week3	0.50430059
19	Mix	Week3	0.23624454
20	Mix	Week3	0.3214124
21	Mix	Week3	0.38614758
22	Mix	Week3	0.33906745
23	Mix	Week3	0.26346763
24	Mix	Week3	0.31145315
25	Mix	Week3	0.33680398
26	Mix	Week3	0.20552286
27	Mix	Week3	0.28112268
28	Mix	Week3	0.36713445
29	Mix	Week3	0.28791308
30	Mix	Week3	0.25215029
