"RUNINFO"	"Name"	"Run"	"Treatment"	"Replicate"	"FA_mass"	"µg_FA_per_mg"
"67"	"Algae_13"	"18:1n-9c"	"R2"	"C"	3	10.8308083054076	0.914764214983751
"68"	"Algae_13"	"18:2n-6c"	"R2"	"C"	3	24.3225281513458	2.05426758035016
"69"	"Algae_13"	"18:3n-3"	"R2"	"C"	3	99.5313116540065	8.40636078158838
"70"	"Algae_13"	"18:3n-6"	"R2"	"C"	3	10.3931117575783	0.877796601146819
"71"	"Algae_13"	"20:0"	"R2"	"C"	3	0	0
"72"	"Algae_13"	"20:1n-9"	"R2"	"C"	3	0.0899023015259733	0.00759309979104504
"73"	"Algae_13"	"20:2n-6"	"R2"	"C"	3	0.125834147274626	0.0106278840603569
"74"	"Algae_13"	"20:3n-3"	"R2"	"C"	3	0.0671816268251578	0.00567412388725995
"75"	"Algae_13"	"20:4n-6"	"R2"	"C"	3	0.398926317216158	0.0336931011162296
"76"	"Algae_13"	"20:5n-3"	"R2"	"C"	3	2.99698795420871	0.253123982618979
"77"	"Algae_13"	"22:0"	"R2"	"C"	3	0.121094739247928	0.0102275962202642
"78"	"Algae_13"	"22:6n-3"	"R2"	"C"	3	0.728340645738724	0.0615152572414463
"79"	"Algae_13"	"23:0"	"R2"	"C"	3	0.391734002617933	0.0330856421130011
"80"	"Algae_13"	"24:0"	"R2"	"C"	3	0.355797084951112	0.0300504294722223
"81"	"Algae_14"	"15:0"	"R2"	"T"	3	0.843638320564111	0.0547461596732064
"82"	"Algae_14"	"16:0"	"R2"	"T"	3	96.6232616698108	6.27016623425119
"83"	"Algae_14"	"16:1n-7"	"R2"	"T"	3	17.6823933213064	1.14746225316719
"84"	"Algae_14"	"17:0"	"R2"	"T"	3	16.4200726108111	1.06554656786574
"85"	"Algae_14"	"18:0"	"R2"	"T"	3	2.56964350292695	0.166751687406032
"86"	"Algae_14"	"18:1n-7"	"R2"	"T"	3	55.3836175950059	3.59400503536703
"87"	"Algae_14"	"18:1n-9c"	"R2"	"T"	3	19.7513805477985	1.28172488953916
"88"	"Algae_14"	"18:2n-6c"	"R2"	"T"	3	32.4861471094239	2.10812116219493
"89"	"Algae_14"	"18:3n-3"	"R2"	"T"	3	178.006040503184	11.5513329333669
"90"	"Algae_14"	"18:3n-6"	"R2"	"T"	3	17.5825883112567	1.14098561396864
"91"	"Algae_14"	"20:0"	"R2"	"T"	3	0.0683827763309594	0.00443755849000386
"92"	"Algae_14"	"20:1n-9"	"R2"	"T"	3	0.194447673009889	0.0126182785859759
"93"	"Algae_14"	"20:2n-6"	"R2"	"T"	3	0.191086344257367	0.0124001521257214
"94"	"Algae_14"	"20:3n-3"	"R2"	"T"	3	0.371245951799718	0.024091236327042
"95"	"Algae_14"	"20:4n-6"	"R2"	"T"	3	1.66164520259329	0.107829020285093
"96"	"Algae_14"	"20:5n-3"	"R2"	"T"	3	5.16167915643862	0.334956466997964
"97"	"Algae_14"	"22:0"	"R2"	"T"	3	0	0
"98"	"Algae_14"	"22:6n-3"	"R2"	"T"	3	0.474639356855355	0.0308007369795817
"99"	"Algae_14"	"23:0"	"R2"	"T"	3	0.351475441085611	0.0228082700250234
"100"	"Algae_14"	"24:0"	"R2"	"T"	3	0.266642532782255	0.0173032143272067
"101"	"Algae_15"	"15:0"	"R1"	"C"	3	0.748899954741654	0.0601043302360878
"102"	"Algae_15"	"16:0"	"R1"	"C"	3	62.0186569199264	4.97742029854947
"103"	"Algae_15"	"16:1n-7"	"R1"	"C"	3	12.5430348857972	1.00666411603509
"104"	"Algae_15"	"17:0"	"R1"	"C"	3	9.90483043703854	0.794930211640332
"105"	"Algae_15"	"18:0"	"R1"	"C"	3	2.31925635136196	0.186136143769017
"106"	"Algae_15"	"18:1n-7"	"R1"	"C"	3	22.2494717432907	1.78567188950969
"107"	"Algae_15"	"18:1n-9c"	"R1"	"C"	3	12.7809703905939	1.02576006345055
"108"	"Algae_15"	"18:2n-6c"	"R1"	"C"	3	30.2326953860744	2.42638004703647
"109"	"Algae_15"	"18:3n-3"	"R1"	"C"	3	121.173167472181	9.72497331237404
"110"	"Algae_15"	"18:3n-6"	"R1"	"C"	3	4.27645461697731	0.343214656258211
"111"	"Algae_15"	"20:0"	"R1"	"C"	3	0.0302986781842743	0.00243167561671544
"112"	"Algae_15"	"20:1n-9"	"R1"	"C"	3	0.125357578123763	0.010060800812501
"113"	"Algae_15"	"20:2n-6"	"R1"	"C"	3	0.124495909146418	0.00999164599890992
"114"	"Algae_15"	"20:3n-3"	"R1"	"C"	3	0.0894414201650458	0.00717828412239533
"115"	"Algae_15"	"20:4n-6"	"R1"	"C"	3	0.746898300844473	0.0599436838558967
"116"	"Algae_15"	"20:5n-3"	"R1"	"C"	3	6.50253233851305	0.521872579334916
"117"	"Algae_15"	"22:0"	"R1"	"C"	3	0.476950815440316	0.0382785566163978
"118"	"Algae_15"	"22:6n-3"	"R1"	"C"	3	1.19204256512139	0.0956695477625513
"119"	"Algae_15"	"23:0"	"R1"	"C"	3	0.223311481556845	0.0179222697878688
"120"	"Algae_15"	"24:0"	"R1"	"C"	3	0.820339325201031	0.0658378270626831
"121"	"Algae_16"	"15:0"	"R3"	"C"	1	0.688027998380116	0.0494272987342037
"122"	"Algae_16"	"16:0"	"R3"	"C"	1	64.3748715997105	4.62463158043898
"123"	"Algae_16"	"16:1n-7"	"R3"	"C"	1	10.9293222180234	0.78515245819134
"124"	"Algae_16"	"17:0"	"R3"	"C"	1	12.8131795732691	0.920487038309561
"125"	"Algae_16"	"18:0"	"R3"	"C"	1	1.51827673766858	0.10907160471757
"126"	"Algae_16"	"18:1n-7"	"R3"	"C"	1	21.5427964118788	1.54761468476141
"127"	"Algae_16"	"18:1n-9c"	"R3"	"C"	1	11.468505200477	0.823886867850358
"128"	"Algae_16"	"18:2n-6c"	"R3"	"C"	1	30.7346233884108	2.20794708250077
"129"	"Algae_16"	"18:3n-3"	"R3"	"C"	1	88.5695336946779	6.36275385737629
"130"	"Algae_16"	"18:3n-6"	"R3"	"C"	1	6.74817349275057	0.484782578502196
"131"	"Algae_16"	"20:0"	"R3"	"C"	1	0.0152533130640041	0.00109578398448305
"132"	"Algae_16"	"20:1n-9"	"R3"	"C"	1	0.131072476941882	0.0094161262170892
"133"	"Algae_16"	"20:2n-6"	"R3"	"C"	1	0.154056209111939	0.0110672564017197
