Oldname	RUNINFO	Name	Week	FA	Treatment	FA_conc_rel
W1Pro	S_3	C22:0	1	SAFA	Pro	0.127110106
W1Pro	S_3	C22:1	1	MUFA	Pro	0
W1Pro	S_3	C22:2	1	PUFA	Pro	0.00041855
W1Pro	S_3	C22:5(n-3)	1	PUFA	Pro	0.001795889
W1Pro	S_3	C22:6(n-3)	1	PUFA	Pro	0.133839299
W1Pro	S_3	C24:0	1	SAFA	Pro	0.906311353
W1Pro	S_3	C24:1	1	MUFA	Pro	0
W1Mix	S_4	C08:0	1	SAFA	Mix	0.000482192
W1Mix	S_4	C10:0	1	SAFA	Mix	0
W1Mix	S_4	C11:0	1	SAFA	Mix	0
W1Mix	S_4	C12:0	1	SAFA	Mix	0.122240473
W1Mix	S_4	C13:0	1	SAFA	Mix	1.47355242
W1Mix	S_4	C14:0	1	SAFA	Mix	4.455287529
W1Mix	S_4	C14:1	1	MUFA	Mix	0
W1Mix	S_4	C15:0	1	SAFA	Mix	0.157681184
W1Mix	S_4	C15:1	1	MUFA	Mix	0
W1Mix	S_4	C16:0	1	SAFA	Mix	34.22734164
W1Mix	S_4	C16:1	1	MUFA	Mix	4.133591164
W1Mix	S_4	C17:0	1	SAFA	Mix	0.148451365
W1Mix	S_4	C17:1	1	MUFA	Mix	0.241487038
W1Mix	S_4	C18:0	1	SAFA	Mix	2.43402814
W1Mix	S_4	C18:1	1	MUFA	Mix	0
W1Mix	S_4	C18:2(n-6t)	1	PUFA	Mix	0
W1Mix	S_4	C18:2(n-6c)	1	PUFA	Mix	18.55998919
W1Mix	S_4	C18:3(n-6)	1	PUFA	Mix	2.297116035
W1Mix	S_4	C18:3(n-3)	1	PUFA	Mix	24.98405345
W1Mix	S_4	C18:4(n-3)	1	PUFA	Mix	2.349851529
W1Mix	S_4	C20:0	1	SAFA	Mix	0.649785533
W1Mix	S_4	C20:1	1	MUFA	Mix	0.203146724
W1Mix	S_4	C20:2(n-6)	1	PUFA	Mix	0.39871727
W1Mix	S_4	C20:3(n-6)	1	PUFA	Mix	0.143122682
W1Mix	S_4	C20:4(n-6)	1	PUFA	Mix	0.359808302
W1Mix	S_4	C20:3(n-3)	1	PUFA	Mix	0
W1Mix	S_4	C21:0	1	SAFA	Mix	0
W1Mix	S_4	C20:5(n-3)	1	PUFA	Mix	0.881258052
W1Mix	S_4	C22:0	1	SAFA	Mix	0.189517574
W1Mix	S_4	C22:1	1	MUFA	Mix	0
W1Mix	S_4	C22:2	1	PUFA	Mix	0
W1Mix	S_4	C22:5(n-3)	1	PUFA	Mix	0.004261137
W1Mix	S_4	C22:6(n-3)	1	PUFA	Mix	0.186296704
W1Mix	S_4	C24:0	1	SAFA	Mix	1.398932667
W1Mix	S_4	C24:1	1	MUFA	Mix	0
W2NC	S_5	C08:0	2	SAFA	NC	0.001186781
W2NC	S_5	C10:0	2	SAFA	NC	0.01140667
W2NC	S_5	C11:0	2	SAFA	NC	0
W2NC	S_5	C12:0	2	SAFA	NC	0.251144084
W2NC	S_5	C13:0	2	SAFA	NC	0.975554078
W2NC	S_5	C14:0	2	SAFA	NC	1.982864503
W2NC	S_5	C14:1	2	MUFA	NC	0
W2NC	S_5	C15:0	2	SAFA	NC	0.117640346
W2NC	S_5	C15:1	2	MUFA	NC	0
W2NC	S_5	C16:0	2	SAFA	NC	40.64468532
W2NC	S_5	C16:1	2	MUFA	NC	7.593418008
W2NC	S_5	C17:0	2	SAFA	NC	0.157644389
W2NC	S_5	C17:1	2	MUFA	NC	0.181261538
W2NC	S_5	C18:0	2	SAFA	NC	0
W2NC	S_5	C18:1	2	MUFA	NC	0
W2NC	S_5	C18:2(n-6t)	2	PUFA	NC	0.053237829
W2NC	S_5	C18:2(n-6c)	2	PUFA	NC	14.48057508
W2NC	S_5	C18:3(n-6)	2	PUFA	NC	0
W2NC	S_5	C18:3(n-3)	2	PUFA	NC	27.10981388
W2NC	S_5	C18:4(n-3)	2	PUFA	NC	1.770985302
W2NC	S_5	C20:0	2	SAFA	NC	0.174946265
W2NC	S_5	C20:1	2	MUFA	NC	0.345759318
W2NC	S_5	C20:2(n-6)	2	PUFA	NC	0.130537365
W2NC	S_5	C20:3(n-6)	2	PUFA	NC	0
W2NC	S_5	C20:4(n-6)	2	PUFA	NC	1.126192157
W2NC	S_5	C20:3(n-3)	2	PUFA	NC	0
W2NC	S_5	C21:0	2	SAFA	NC	0
W2NC	S_5	C20:5(n-3)	2	PUFA	NC	2.401815462
W2NC	S_5	C22:0	2	SAFA	NC	0
W2NC	S_5	C22:1	2	MUFA	NC	0
W2NC	S_5	C22:2	2	PUFA	NC	0
W2NC	S_5	C22:5(n-3)	2	PUFA	NC	0.003252351
W2NC	S_5	C22:6(n-3)	2	PUFA	NC	0.090644948
W2NC	S_5	C24:0	2	SAFA	NC	0.395434319
W2NC	S_5	C24:1	2	MUFA	NC	0
W2Cip	S_6	C08:0	2	SAFA	Cip	0.002115397
W2Cip	S_6	C10:0	2	SAFA	Cip	0
W2Cip	S_6	C11:0	2	SAFA	Cip	0
W2Cip	S_6	C12:0	2	SAFA	Cip	0.056290448
W2Cip	S_6	C13:0	2	SAFA	Cip	0.952251971
W2Cip	S_6	C14:0	2	SAFA	Cip	1.40184221
W2Cip	S_6	C14:1	2	MUFA	Cip	0.06458918
W2Cip	S_6	C15:0	2	SAFA	Cip	0.088145366
W2Cip	S_6	C15:1	2	MUFA	Cip	0
W2Cip	S_6	C16:0	2	SAFA	Cip	30.7067823
W2Cip	S_6	C16:1	2	MUFA	Cip	4.908663076
W2Cip	S_6	C17:0	2	SAFA	Cip	0.154465665
W2Cip	S_6	C17:1	2	MUFA	Cip	0.16746384
W2Cip	S_6	C18:0	2	SAFA	Cip	2.59078498
W2Cip	S_6	C18:1	2	MUFA	Cip	18.01124611
W2Cip	S_6	C18:2(n-6t)	2	PUFA	Cip	0
W2Cip	S_6	C18:2(n-6c)	2	PUFA	Cip	14.51840607
W2Cip	S_6	C18:3(n-6)	2	PUFA	Cip	0.003028496
W2Cip	S_6	C18:3(n-3)	2	PUFA	Cip	22.75233964
W2Cip	S_6	C18:4(n-3)	2	PUFA	Cip	1.374383372
W2Cip	S_6	C20:0	2	SAFA	Cip	0.132435143
W2Cip	S_6	C20:1	2	MUFA	Cip	0.000133792
W2Cip	S_6	C20:2(n-6)	2	PUFA	Cip	0.011114581
W2Cip	S_6	C20:3(n-6)	2	PUFA	Cip	0
W2Cip	S_6	C20:4(n-6)	2	PUFA	Cip	0.538120325
W2Cip	S_6	C20:3(n-3)	2	PUFA	Cip	0.031893577
W2Cip	S_6	C21:0	2	SAFA	Cip	0
W2Cip	S_6	C20:5(n-3)	2	PUFA	Cip	1.430184375
W2Cip	S_6	C22:0	2	SAFA	Cip	0.030136013
W2Cip	S_6	C22:1	2	MUFA	Cip	0
W2Cip	S_6	C22:2	2	PUFA	Cip	7.0948E-05
W2Cip	S_6	C22:5(n-3)	2	PUFA	Cip	0
W2Cip	S_6	C22:6(n-3)	2	PUFA	Cip	0.07311313
W2Cip	S_6	C24:0	2	SAFA	Cip	0
W2Cip	S_6	C24:1	2	MUFA	Cip	0
W2Pro	S_7	C08:0	2	SAFA	Pro	0.002160012
W2Pro	S_7	C10:0	2	SAFA	Pro	0.013407376
W2Pro	S_7	C11:0	2	SAFA	Pro	0
W2Pro	S_7	C12:0	2	SAFA	Pro	0.224999353
W2Pro	S_7	C13:0	2	SAFA	Pro	1.288342924
W2Pro	S_7	C14:0	2	SAFA	Pro	2.767728732
W2Pro	S_7	C14:1	2	MUFA	Pro	0
W2Pro	S_7	C15:0	2	SAFA	Pro	0.139839033
W2Pro	S_7	C15:1	2	MUFA	Pro	0
W2Pro	S_7	C16:0	2	SAFA	Pro	40.89225631
W2Pro	S_7	C16:1	2	MUFA	Pro	10.17944565
W2Pro	S_7	C17:0	2	SAFA	Pro	0.137518978
W2Pro	S_7	C17:1	2	MUFA	Pro	0.165667747
W2Pro	S_7	C18:0	2	SAFA	Pro	0.08762591
W2Pro	S_7	C18:1	2	MUFA	Pro	0
W2Pro	S_7	C18:2(n-6t)	2	PUFA	Pro	0.00015431
